Course	Room	Teacher	Time	Students
1	PK20	1	12	1 2 
2	PK25	2	5	1 2 70 100 104 120 121 125 131 134 142 171 210 217 273 283 311 396 417 426 427 438 442 515 524 547 576 656 804 835 863 875 892 923 930 933 1048 1086 1222 1239 1265 1268 1500 1614 1626 
3	PK243	3	3	1 2 36 42 78 119 120 123 156 170 177 184 210 409 424 426 488 507 569 576 692 693 743 769 860 892 922 928 978 1043 1110 1204 1261 1286 1307 1583 1677 1692 
4	DAL300	4	1	205 243 293 372 374 387 404 527 785 856 937 1149 1267 1334 1339 1342 1346 
5	DAL119	5	12	3 9 50 60 64 207 391 559 693 780 833 853 1023 1037 1051 1181 1184 1188 1263 1269 1313 1443 1459 
6	TH110	6	9	4 143 245 271 378 387 462 716 772 859 908 1013 1036 1315 1319 1327 1496 1506 1593 1603 1638 1652 
7	PK338	7	10	4 17 48 50 55 143 149 480 802 1184 1361 
8	CARP21	8	6	5 12 33 45 53 64 65 270 402 446 451 561 576 578 592 764 799 903 909 922 931 1071 1449 1459 1539 1567 1674 
9	CARP21	9	10	5 13 43 45 49 140 278 404 481 489 561 734 792 1249 1477 1685 
10	TH110	10	11	6 40 44 61 73 87 95 478 559 563 566 654 1199 1374 1442 1472 1542 1624 
11	PK20	11	10	7 15 42 52 54 75 94 488 493 554 1547 
12	PK20	12	7	7 41 42 52 121 123 156 392 405 409 418 429 488 496 569 848 954 1041 1239 1462 
13	TAYF	13	7	9 67 89 116 722 745 1044 1054 1065 1099 1195 1215 1250 1556 1587 1597 
14	PK243	14	5	10 14 18 19 38 92 193 424 490 556 631 634 644 692 795 1033 1168 1171 1178 1251 1570 
15	PK243	15	16	11 25 76 477 483 498 1062 1416 
16	CARP21	16	5	12 21 23 33 46 53 63 65 67 90 190 397 402 403 404 405 411 481 561 635 719 720 734 763 764 777 799 917 1029 1173 1185 1189 1383 1441 1539 
17	DAL119	17	3	14 74 93 103 108 222 416 447 456 471 499 541 543 628 638 665 686 708 717 767 820 854 924 1081 1232 1561 1571 1580 
18	EHI	18	3	16 56 218 503 886 1128 1262 1322 1344 
19	TAYG	19	1	16 646 678 977 1079 1163 1271 1660 
20	CARP21	20	7	17 22 34 48 64 71 109 111 120 163 171 293 403 408 445 628 652 772 892 1040 1174 1177 1202 1233 1241 1379 1409 1564 1637 1699 
21	TH224	21	9	18 20 623 650 782 786 1406 1453 1462 
22	TH224	22	8	20 24 27 136 214 500 504 624 694 1188 
23	CARP21	20	3	15 22 90 101 111 229 255 261 284 322 374 380 406 432 481 486 492 513 605 649 696 716 724 758 850 858 873 931 993 1068 1113 1142 1308 1314 1320 1324 1340 1383 1477 1575 1650 1652 
24	PK20	23	4	22 35 36 47 58 70 81 94 104 142 179 184 399 406 417 584 629 748 850 863 1027 1086 1222 1261 
25	TH111	24	17	24 282 508 
26	DAL119	25	10	24 46 51 136 218 222 237 242 266 390 410 454 499 533 552 557 596 628 691 703 988 1214 1250 1619 
27	CARP21	26	4	26 38 39 43 63 119 216 365 404 434 489 579 601 698 763 769 944 946 949 950 993 1025 1039 1050 1052 1061 1104 1185 1189 1223 1259 1381 1385 1467 1561 1643 1645 1655 1663 1689 
28	PK25	27	6	27 79 96 110 124 130 137 145 158 175 264 280 281 487 512 531 599 639 651 657 718 765 919 962 990 1036 1063 1069 1085 1102 1196 1242 1376 1535 1592 1676 
29	PK25	28	1	22 28 36 47 60 104 142 182 184 223 225 232 244 285 302 303 322 330 359 364 371 376 430 445 468 520 584 585 605 614 622 633 662 700 706 709 748 828 841 850 857 863 864 870 888 889 890 897 901 907 939 957 981 1004 1007 1009 1091 1105 1120 1125 1157 1160 1161 1174 1179 1266 1281 1310 1321 1404 1456 1462 1473 1526 1644 
30	CARP21	29	2	28 141 147 201 204 226 247 274 300 331 337 357 370 372 376 384 409 412 421 448 449 471 493 496 502 534 603 604 618 647 678 702 711 741 829 868 1045 1140 1150 1152 1216 1462 1487 1538 
31	PK20	30	5	28 147 161 286 399 444 464 554 584 693 732 781 806 807 812 916 986 1093 1205 1231 1264 1366 1408 
32	DAL119	31	16	4 29 130 289 317 338 351 435 457 504 538 655 657 826 1007 1211 1214 1224 
33	DAL300	32	13	29 995 1023 1087 1211 1271 1302 1480 1661 1702 
34	DAL300	33	7	29 50 97 108 150 170 486 499 557 926 962 1038 1119 1206 1214 1285 1414 
35	DAL300	34	10	29 68 83 106 208 223 235 317 504 655 1490 1587 
36	PK243	35	6	19 30 115 142 194 239 417 418 444 490 634 692 702 748 868 1040 1097 1100 1267 1357 
37	CARP21	9	12	30 162 216 261 278 451 592 601 674 1272 1273 1463 
38	DAL119	36	17	31 166 265 289 290 296 316 453 522 587 590 612 705 757 835 969 1311 1562 
39	PK338	28	11	32 79 91 99 169 175 506 512 1057 1688 
40	PK25	37	13	32 91 96 410 413 627 639 651 772 779 919 1030 1036 1069 1196 1445 
41	TH104	38	8	69 1115 1140 
42	DAL300	39	8	34 293 390 482 633 642 717 761 910 911 924 1074 1164 1295 1652 1696 
43	DAL300	4	14	4 35 582 661 745 853 927 1257 1484 1683 
44	TH104	40	9	36 810 1446 
45	EHI	41	4	37 309 408 726 831 877 901 1256 1375 
46	TH111	42	10	37 1137 1255 1268 1314 1418 1437 1630 
47	TH104	43	6	38 66 401 408 636 1180 
48	CARP21	20	1	15 38 58 64 93 111 112 157 171 176 187 206 257 261 278 284 366 403 432 434 452 546 644 696 724 730 936 970 1008 1039 1097 1137 1213 1225 1269 1273 1285 1338 1369 1372 1384 1389 1402 1435 1467 1486 1488 1611 
49	PK338	44	3	40 62 128 139 398 410 494 518 571 641 657 673 676 725 871 984 1053 1095 1107 1167 1182 1192 1201 1207 1235 1283 1304 1400 1448 1491 1682 
50	TH111	45	11	173 1170 1195 1640 
51	DAL119	46	6	43 108 191 226 361 372 435 504 527 624 686 773 974 988 1072 1111 1181 1252 1253 1259 1266 1386 1434 1435 1441 1519 1588 1614 
52	TH104	38	5	44 194 507 1065 1078 1111 1446 1461 1673 
