Course	Room	Teacher	Time	Students
1	TAYD	1	3	1 697 887 945 
2	TAYD	2	4	2 345 581 582 
3	PK180	3	9	3 419 452 543 600 637 819 830 837 
4	PK25	4	12	3 60 222 408 511 578 592 638 683 695 707 712 731 737 738 794 865 983 1004 
5	PK25	5	13	4 69 76 78 81 113 142 180 181 189 194 201 202 232 241 249 270 285 362 589 
6	TAYF	6	13	217 528 799 
7	PK25	7	10	4 243 348 355 422 446 473 495 502 574 605 609 659 686 691 697 698 707 751 799 843 
8	TAYD	8	5	4 31 620 
9	TAYF	9	3	5 663 820 858 959 962 998 1111 
10	PK25	10	8	5 38 87 137 192 226 239 310 316 366 411 437 456 474 477 479 496 518 521 570 586 1106 
11	TAYF	11	14	6 11 87 102 134 215 298 
12	PK180	12	1	7 13 14 45 81 90 183 264 286 320 346 416 470 
13	PK229	13	4	8 72 154 351 357 
14	PK243	14	9	8 165 182 193 232 267 341 407 
15	PK338	15	2	8 19 25 77 81 88 122 138 144 189 197 201 223 231 339 501 503 505 520 523 528 562 590 635 696 713 725 727 735 742 743 748 751 757 759 765 775 786 788 802 806 807 813 816 833 857 868 870 871 875 876 877 884 888 894 895 898 910 911 912 914 918 920 921 922 926 927 930 933 939 951 956 960 962 963 964 965 967 970 971 972 975 977 981 982 986 988 992 993 995 996 999 1001 1005 1006 1007 1013 1015 1017 1024 1026 1029 1031 1032 1033 1037 1038 1041 1042 1048 1054 1057 
16	PK180	16	2	9 18 131 268 297 755 789 864 1040 1066 
17	PK336	17	14	9 75 324 375 380 432 512 535 550 769 
18	PK25	18	1	9 10 15 17 29 52 55 74 121 131 138 197 200 252 258 262 265 283 296 301 311 315 330 331 
19	DAL204	19	13	10 34 154 219 235 291 293 404 643 739 764 867 952 1104 
20	PK338	20	5	10 37 57 67 76 115 134 141 169 172 187 193 194 209 210 216 219 224 231 251 257 280 290 297 314 340 352 353 376 378 394 408 416 420 434 441 485 492 496 509 540 551 557 558 560 578 608 614 618 632 647 657 673 674 681 683 706 728 729 732 733 752 759 760 802 828 838 842 844 850 925 929 967 1004 1021 1080 1111 
21	PK336	21	15	10 59 125 209 345 367 400 446 609 773 
22	TH224	13	8	10 407 486 563 701 744 
23	PK243	11	10	11 178 205 253 309 342 379 531 
24	PK180	22	3	11 52 87 139 149 261 286 378 488 682 698 711 840 954 
25	PK243	23	11	12 99 112 164 172 198 278 282 321 
26	PK180	17	10	12 265 430 520 550 669 713 780 812 824 845 859 1057 
27	TAYF	24	4	15 37 70 346 352 458 699 880 
28	TAYF	25	5	15 29 197 200 279 345 704 
29	PK338	26	3	15 25 31 75 280 350 377 405 419 439 473 482 498 519 540 554 558 576 578 585 610 611 617 619 622 624 636 669 677 681 701 705 718 721 729 734 736 769 773 790 792 803 810 824 832 843 850 860 866 872 874 879 881 890 892 905 917 944 946 960 980 989 996 997 1007 1021 1023 1026 1034 1037 1046 1047 1049 1056 1069 1070 1075 1079 1089 1103 1104 
30	PK338	27	8	15 53 105 133 176 181 217 264 391 414 452 507 545 556 562 612 622 639 652 658 660 670 675 692 700 717 741 747 760 780 781 795 802 851 852 857 860 866 873 882 889 910 922 928 935 944 949 957 967 972 980 983 987 996 1007 1035 1038 1040 1046 1079 1080 1098 1101 
31	TAYD	28	7	16 159 400 
32	PK229	29	5	16 79 145 556 670 
33	PK338	30	17	17 56 86 169 213 311 317 331 352 413 455 459 461 463 466 709 710 721 733 768 776 777 778 820 830 867 885 889 907 929 938 948 1020 1029 1070 1074 1081 
34	TAYF	31	6	17 103 197 279 296 315 512 583 
35	TAYD	13	6	18 123 446 767 
36	TH110	32	4	18 55 95 131 138 279 301 322 324 331 358 375 394 434 495 497 509 512 515 535 576 605 614 619 652 674 702 703 709 890 1102 
37	TAYF	33	15	19 26 135 
38	PK338	23	6	20 92 110 144 150 234 344 351 379 393 500 505 525 542 557 563 565 571 572 595 599 612 616 625 628 647 649 658 661 665 675 676 679 688 689 694 706 716 719 724 737 747 752 770 785 792 801 811 831 832 838 854 857 883 915 916 951 957 982 998 1012 1017 1040 1045 1067 1074 1087 1100 1109 
39	PK338	34	12	20 26 135 233 306 395 466 483 500 504 523 552 572 593 599 603 612 616 630 631 640 645 647 648 658 660 665 667 676 679 693 694 719 724 747 752 755 791 800 801 811 817 848 862 864 1102 1109 
40	TH110	35	1	20 26 172 234 236 256 259 261 270 282 308 362 370 371 384 396 398 423 427 428 447 450 472 490 514 539 549 551 580 595 606 660 732 746 755 785 863 
41	PK229	36	6	21 91 262 382 
42	PK180	37	11	22 66 91 119 292 461 522 529 532 538 638 715 739 
43	PK180	38	4	22 31 33 88 104 107 185 222 223 235 237 238 247 365 
44	TH110	39	2	23 47 106 283 342 348 454 544 545 564 671 718 728 767 823 828 867 892 896 913 916 968 1044 1058 1064 1073 1088 1109 1111 
45	DAL204	40	2	28 29 52 55 74 121 252 254 258 263 272 295 296 322 330 567 
46	TH110	41	9	24 100 176 206 239 310 316 343 387 399 411 447 456 474 477 479 496 521 564 570 657 685 708 717 728 792 861 1106 
47	PK25	42	15	24 68 100 110 206 310 411 447 454 474 477 496 508 518 534 570 657 754 949 
48	TAYF	43	16	25 27 72 272 383 550 586 
49	TH110	44	13	27 44 47 53 82 117 156 165 193 263 272 290 295 297 326 330 356 430 460 466 502 555 587 
50	PK229	45	7	27 239 325 444 
51	PK180	28	5	28 39 155 244 245 336 364 373 374 435 463 530 607 615 
52	PK336	28	4	28 58 114 178 225 243 273 309 336 
53	PK336	46	16	29 73 89 117 139 298 362 430 508 590 
54	PK243	47	12	30 38 110 132 157 212 239 240 361 
55	PK180	48	15	31 48 137 141 166 320 485 515 597 802 860 1105 
56	PK180	49	16	32 122 174 191 250 271 284 312 323 347 381 468 
57	PK180	50	12	33 64 128 247 328 365 532 538 579 584 607 639 808 
58	TH224	51	9	33 41 135 139 583 729 
59	TAYF	52	17	129 151 325 
60	PK336	53	17	34 98 160 170 182 196 250 281 329 344 
61	PK229	44	8	35 63 227 268 326 
62	PK243	54	1	35 70 77 175 229 277 342 1019 
63	PK336	55	5	35 45 77 90 185 229 458 
64	PK338	56	10	36 94 150 208 228 233 298 304 306 314 402 407 418 440 519 533 553 562 624 634 661 663 702 730 744 766 782 793 798 803 810 813 814 846 878 885 886 898 904 907 909 926 957 988 994 1014 1023 1033 1044 1045 1048 1052 1059 1079 1081 1083 1084 1088 1091 
