Course	Room	Teacher	Time	Students
1	TH224	1	12	1 16 90 126 165 191 206 293 338 343 
2	PK349	2	5	2 43 56 144 392 
3	PK25	3	1	3 8 9 10 13 254 317 324 361 403 424 438 452 467 468 483 525 612 618 640 642 652 667 674 679 683 689 702 708 709 713 714 735 747 763 769 781 783 796 801 806 807 808 815 817 837 842 845 854 888 898 901 915 918 937 947 964 983 1003 1020 1029 1030 1034 1040 1043 1050 1051 1095 1101 
4	PK180	4	2	3 10 157 226 421 458 469 474 483 495 546 576 610 627 683 708 709 759 867 877 971 1000 
5	PK243	5	1	132 242 337 439 474 517 519 608 610 627 695 698 730 768 773 855 1021 1026 
6	TAYD	6	12	4 75 200 258 286 302 307 327 379 404 461 500 534 539 544 558 583 584 595 820 855 
7	PK338	7	2	4 75 89 238 301 335 362 371 377 398 411 459 470 482 496 507 517 519 527 562 597 606 635 639 640 660 687 695 698 706 710 713 715 722 724 728 730 733 735 741 747 752 753 756 769 771 773 777 794 796 797 815 826 834 842 919 920 1010 1016 1021 1026 
8	TH110	8	8	4 273 297 423 443 459 529 613 667 986 
9	TAYF	9	3	4 50 112 227 235 329 
10	TAYD	10	8	5 51 127 193 244 284 296 396 408 471 485 501 550 566 569 570 580 625 649 654 707 758 851 
11	CARP15	11	4	5 481 705 802 
12	TAYE	12	12	6 154 164 232 
13	PK338	13	13	7 58 119 151 377 
14	PK180	14	1	294 335 460 507 548 631 650 656 681 748 755 966 968 976 979 1005 1017 1046 1060 1061 1065 
15	TAYE	15	2	11 23 83 109 117 196 222 321 345 457 520 829 
16	DAL204	16	15	11 176 311 387 442 451 578 
17	DAL204	16	9	11 20 22 36 42 51 138 175 176 223 268 282 311 334 344 
18	EHII	17	1	12 43 60 91 101 107 118 136 141 148 150 155 156 159 177 185 192 209 231 243 246 247 275 310 348 504 604 
19	DAL204	18	8	14 31 48 55 67 100 103 114 140 184 208 211 239 240 336 339 
20	TH110	19	5	14 30 378 390 557 706 779 819 900 962 999 1047 
21	TH110	20	13	14 129 146 172 
22	CARP15	20	1	14 90 146 370 390 406 675 814 840 978 
23	TAYF	21	4	14 240 323 553 
24	TH224	2	2	15 437 445 478 569 582 631 669 732 802 889 909 912 914 951 955 982 1003 1033 
25	DAL204	22	7	15 153 221 353 515 692 713 752 764 786 891 956 979 989 1007 1020 1077 1089 
26	TH224	23	8	16 86 90 146 165 206 215 338 465 480 688 
27	GOB	24	4	16 20 111 153 161 192 434 
28	TH224	25	9	16 44 60 68 81 153 178 205 241 273 277 
29	PK25	26	3	17 51 62 76 82 84 107 136 149 191 262 266 283 293 313 380 382 409 418 421 429 449 460 469 474 484 509 510 512 518 608 672 678 689 693 703 709 727 736 739 747 789 814 952 
30	TH104	27	4	17 966 1077 
31	PK25	28	5	18 36 37 82 96 122 179 203 290 294 295 317 326 359 368 374 397 401 409 421 425 495 531 607 609 616 
32	PK25	29	4	18 104 188 197 234 252 319 334 357 363 393 405 410 448 464 476 484 491 504 560 565 570 572 592 598 625 630 643 692 718 760 764 765 809 832 846 849 856 928 932 990 992 1002 
33	DAL204	30	2	18 28 39 45 102 164 173 175 176 186 195 235 258 259 282 374 424 442 451 461 522 560 567 572 720 734 803 992 
34	EHII	31	6	19 101 111 131 136 145 150 166 209 216 232 247 349 486 565 
35	TAYD	10	4	19 23 25 28 47 53 83 95 102 109 117 128 134 158 166 196 222 245 260 261 263 285 286 289 299 315 342 345 542 829 
36	PK25	32	10	21 37 45 76 88 225 242 288 337 364 367 388 439 449 455 492 496 601 
37	TAYD	33	3	21 22 65 267 370 389 490 600 606 681 698 742 753 781 818 876 886 887 923 925 928 938 960 961 975 995 997 998 1010 1013 1021 1050 1051 1064 
38	PK243	34	7	21 76 119 
39	PK338	7	6	22 33 125 142 143 181 210 238 266 291 319 363 385 403 438 444 452 458 518 536 551 627 737 
40	PK338	35	5	22 29 35 65 72 73 77 108 124 125 141 143 148 174 181 210 214 230 238 253 266 281 284 319 335 370 385 403 444 453 534 536 544 551 568 575 595 696 740 
41	TAYF	36	2	35 200 207 286 302 303 
42	TH110	37	7	24 69 236 273 278 366 408 487 499 550 562 570 
43	EHII	38	11	24 91 106 159 192 235 243 321 420 446 
44	TAYG	39	1	24 172 248 487 694 853 932 
45	DAL105	40	2	25 41 110 206 650 891 911 938 1092 
46	CARP25	41	11	25 278 
47	TAYD	10	9	25 47 53 57 109 115 117 128 134 200 245 260 261 263 285 286 302 315 342 542 617 
48	PK25	26	2	26 267 324 361 372 391 400 422 502 509 526 530 541 543 555 607 624 636 642 646 651 663 671 677 684 688 699 712 718 731 745 749 772 774 791 793 817 831 850 883 885 888 897 900 901 908 918 924 932 935 946 950 976 999 1005 1011 1023 1024 1031 1046 1055 1057 1075 
49	PK25	42	9	26 61 121 131 173 180 226 229 294 341 352 364 367 389 449 496 507 526 535 601 
50	GIL210	43	2	427 785 
51	TAYE	44	3	27 99 115 154 158 230 233 259 280 330 331 439 498 
52	EHII	45	8	27 28 43 71 109 155 310 451 542 560 637 794 
53	PK338	13	15	29 521 704 
54	PK349	46	4	29 96 108 139 295 322 601 667 684 710 782 916 920 922 1047 
55	PK338	47	11	29 116 174 214 281 313 
56	EHII	31	2	30 100 101 250 270 320 328 351 397 402 416 447 467 479 561 593 743 806 879 
57	TH110	48	1	30 133 163 197 221 259 280 330 331 397 512 596 641 662 772 789 791 827 880 913 935 939 949 965 970 977 1009 1014 1022 1024 1037 1072 1074 1087 1089 1090 1103 
58	DAL204	49	12	31 103 140 184 199 214 235 446 516 552 553 600 
59	TAYF	27	6	32 830 831 
