Course	Room	Teacher	Time	Students
1	PK180	1	8	1 16 90 126 165 191 206 293 338 343 
2	TAYD	2	3	2 18 43 144 378 392 
3	PK338	3	4	3 8 9 10 13 254 317 324 361 403 424 438 452 467 468 483 525 612 618 640 642 649 652 667 674 679 683 689 702 708 709 713 714 735 747 763 769 781 783 796 801 806 807 808 815 817 837 842 845 854 888 898 901 915 918 937 945 947 956 957 964 969 974 983 988 1003 1020 1029 1030 1034 1040 1043 1050 1051 1095 1101 
4	PK338	4	17	3 10 157 226 267 324 421 458 465 469 474 483 495 546 576 608 610 627 683 698 708 709 713 714 731 735 736 752 759 769 771 796 797 801 815 842 867 877 971 1000 
5	PK25	5	5	3 8 9 10 13 132 242 337 424 439 463 474 517 519 608 610 627 674 695 698 730 734 768 773 845 855 867 970 1021 1026 
6	DAL204	6	12	4 75 200 258 286 302 307 327 379 404 461 500 534 539 544 558 583 584 595 820 855 
7	PK338	7	7	4 75 89 238 301 335 362 371 377 398 411 459 470 482 496 507 517 519 527 562 597 606 635 639 640 660 687 695 698 706 710 713 715 722 724 728 730 733 735 741 747 752 753 756 769 771 773 777 794 796 797 815 826 834 842 919 920 1010 1016 1021 1026 
8	PK180	8	9	4 273 297 443 459 529 613 667 986 
9	TAYE	9	2	4 50 112 227 329 
10	PK25	10	16	5 51 127 193 244 284 296 396 408 471 485 501 550 566 569 570 580 613 625 649 654 697 707 758 851 
11	TH224	11	8	5 481 705 802 
12	TH224	12	9	6 154 164 232 
13	TAYE	13	16	7 58 119 151 377 
14	PK338	14	9	8 9 13 294 322 335 460 507 524 548 612 631 650 656 681 748 755 783 848 854 862 875 890 891 895 914 922 931 965 966 968 972 973 976 979 987 996 1005 1014 1017 1037 1046 1060 1061 1065 
15	PK349	15	4	11 23 28 83 109 117 196 222 321 345 520 829 
16	TAYD	16	4	176 311 387 442 451 
17	TH110	16	15	11 20 22 36 42 51 138 175 176 223 268 282 311 334 344 
18	PK25	17	12	12 43 91 101 107 118 136 141 148 150 155 156 159 177 185 192 209 231 243 246 247 275 310 348 504 604 
19	TH110	18	10	14 31 48 55 67 100 103 114 140 184 208 211 239 240 336 339 
20	PK349	19	5	14 30 378 390 397 401 557 706 779 819 962 1047 
21	TH224	20	10	129 146 172 
22	PK349	20	13	14 90 146 370 390 406 480 675 768 814 840 978 985 
23	TH224	21	11	14 240 323 553 
24	DAL204	2	10	15 75 437 445 478 569 582 669 711 732 802 816 889 909 912 914 951 955 982 1003 1033 
25	TH110	22	2	15 153 221 353 515 546 713 752 764 786 891 979 1007 1020 1077 1089 
26	PK229	23	16	16 86 90 146 165 206 215 338 465 480 688 
27	TAYD	24	5	16 20 111 153 161 192 434 
28	PK229	25	17	16 44 60 68 81 153 178 205 241 
