Students	1600
1	1 135
2	2 3 4 151 256
3	5 6 110
4	7 8 9 10
5	11 12 243
6	13 106
7	14
8	15 16
9	6 34
10	17 6 42 255
11	6 18 19 176 252
12	17 6 20
13	21 22 14 224
14	23 24 25
15	26 164
16	27 28 150
17	29 26 30 241
18	31
19	32 1 33 34
20	35 58 215 277
21	7 88
22	36 179 137
23	7 37 226
24	6 153 28
25	38 191
26	39 40 155
27	14 128 141 167
28	38 41 191 243
29	6 156 106
30	1 42 43 23
31	44 6
32	45 26
33	43 117
34	46 13 256 23
35	7 261 190 171
36	47 27 48 208
37	49 38 41
38	50 233 28 92
39	7 105 41
40	13 51 210
41	52 171 37
42	29 26 64 88
43	53 38
44	54 37 215
45	55 56 6 208
46	57 11 160
47	43 188 215 256
48	58 184 84
49	40 59
50	26 98
51	5 60 6 61
52	13 251
53	21 62
54	52 37 63 226
55	17 64 39
56	65 66 254
57	66 70
58	43 24
59	67 68
60	29 26 53 115
61	69 182
62	6 100
63	55 6 17
64	70 66 254
65	71 6 64 28 110
66	72 73 74 258
67	75 38 119 87
68	76 170 110 24
69	26 23 264
70	7 77
71	13 78 67
72	79 80
73	53 104 38
74	81 11 82 83 57
75	84 58 85 86
76	22 14 258
77	29 26 126 82
78	6 28 101 102
79	87 38 88 169
80	29 26 89 204
81	90 91 30
82	91 77
83	6 65
84	92 53
85	26 93 173 174
86	94 19
87	6 95
88	96 253 4 42
89	13 23 131 271
90	29 26 23 199
91	97 223
92	98 24 117 108
93	25 164 126 243
94	75 117 158
95	23 99 190 36 73 163
96	6 100 72
97	37 25 41
98	7 53 38
99	26 189 208 264
100	94 242 45 76
101	101 102 169 116
102	103 24 171 8
103	104 105 170
104	52 41 8 171 176 177
105	85 106 58 124
106	7 47 27 48
107	67 107 68 83 225
108	108 72
109	45 100 53 10
110	88 150 139 166
111	109 74 83 225
112	47 27 48
113	29 36 110
114	7 24 25
115	55 64 150 153
116	109 63 77 243
117	91 74 88 255
118	52 77 25
119	33 111 19 59
120	41 171 105 255
121	6 170 105
122	112 72 88 4
123	104 113 114
124	44 10
125	17 126 56 241
126	29 20 120
127	52 54 171 168
128	47 27 48 115
129	1 78 116 67
130	117 84 67 85
131	67 68 229 83 225
132	51 118 161 111
133	119 91 255 243
134	76 41
135	45 33 164 230
136	120 52 170 8
137	75 85 183
138	29 121
139	17 20 88
140	7 47 27 48
141	5 111 102
142	78 67 68 138
143	122
144	123 131
145	2 78 12 161
146	59 144 151 33
147	54 122 170
148	124 125 118 36
149	126 29 249
150	7 54 62
151	85 127 75 58
152	85 81 82 58
153	8 67 68
154	117 84 24 187
155	117 127 90
156	3 128 253 49
157	63 77 41 62
158	50 100 109 117
159	117 58 129 170 84
160	78 67 138 255
161	75 60 119
162	76 129 117 86 150
163	91 77 83 255 251
164	86 130 170 150 176 177
165	131 132 133 150
166	47 27 48 176 177
167	52 170
168	47 27 117 48
169	47 27 48
170	7 8 21
171	47 27 48
172	134 224
173	89 171 87
174	135 136 92
175	85 84 58 56
176	36 137 217
177	72
178	79 125 52
179	126
180	24
181	67 68 161
182	7 47 27 48
183	34 105 171
184	121 95 230
185	123 114 143
186	128 176 49 197 177
187	78 67 138
188	132 63 188
189	52 100 171 45 24
190	122 171 90
191	50 101 89 274
192	139 140 141 211
193	72
194	103 142 111
195	78 116 102 10
196	133
197	18 72 214 155
198	143 171 181
199	132 20 21 131 228
200	52 119 170 115
201	71 50 225
202	144 140
203	103 8 9 24
204	2 4 58 145
205	80
206	7 47 27 24 48
207	117 24 171
208	126 1 76 110
209	146
210	125 144 34
211	112 255
212	52 170 41
213	78 140
214	147 110 166 243
215	71 51 70 56
216	132 72 70
217	34 142 89
218	140 117 187
219	105 148 149
220	150 50 71
221	118 103 20
222	151 113 135 136
223	24 170 217
224	78 116 140
225	76 34 211 170
226	150
227	63 34 10
228	34 104 144
229	111 116 151 140
230	111 38 89 151
231	127 117 84 24
232	117 127 21
233	117 176 177 24
234	54 15 171
235	152 134 45 150
236	135 136
237	142 143 34 101
238	107 2 4 83 225
239	72 210
240	109 115 116
241	117 80 58 127 84
242	117 127 257
243	9 117 219 8
244	117 171 54 224
245	104 188
246	143 84 63 41
247	2 169
248	146 144
249	104
250	104 127 209 249
251	151 171 58
252	153 160 243
253	26
254	94 70 154 233 213
255	32 6 150 258 17
256	1 156 19
257	29 26 113
258	125 130 43
259	126 85 187 58
260	157 6 100 42
261	30 55 6 236
262	91 41
263	7 54 105
264	130 158 39 110
265	7 159 100 25
266	87 38 249 218
267	5 1 42 245
268	100 24 171
269	13 23 141 83 225
270	150 98 130
271	16 15
272	7 67 73 32
273	6 21 160 92
274	1 67 161 264
275	42 6 56
276	7 14 100 126
277	29 26 8
278	3 46 84 80
279	32 150 17 22
280	50 162
281	58 85 99 163
282	18 34 102
283	126 29 8
284	78 67 68 161
285	9 2 117
286	29 120 247
287	36 137 85 58
288	86 165 130 176 177
289	59 4 40 253
290	79 125 43 34
291	127 75 85 58
292	24 140 170 117
293	123 114 164 131
294	84 109 117 215
295	150 125 170
296	7 171 34 105 64
297	117 10 171 24
298	144 176 177
299	124 117 84
300	9 131
301	167 78 94 152 34
302	10 92 211
303	168 139 201
304	1 10 34 243
305	34 146 56 1
306	169 142
307	117 129 167 86
308	103 142 61 118
309	104 142 72 101
310	125 80 43
311	36 137
312	97 23
313	54 37 140
314	38 89
315	43 207
316	13 16 4 34
317	6
318	14 113 95
319	13 34 224
320	105 25 215
321	87 38 172
322	29 256 34
323	78 170 24
324	171 197 176 177 52
325	7 47 27 48 140
326	126 52 170 24
327	47 27 48 80
328	142 94 249 267
329	2 151 10
330	175 156 24 268
331	113 135 136 206 147
332	84 85 178 137 146
333	179 143 36 43
334	50
335	50 28 95 22
336	58 110 179 86 277
337	2 4 180 109
338	143 71
339	139 101 140
340	75 171 176 177 101
341	11 97 60 81
342	182 70
343	170 134 183 117
