Course	Room	Teacher	Time	Students
1	PK20	1	1	1091 1 1133 583 1113 711 1101 147 244 794 20 1165 32 1285 1153 733 759 423 
2	PK338	2	14	459 273 1 185 109 1098 949 364 679 994 924 704 793 505 133 181 29 395 1015 941 1099 
3	PK20	3	17	1411 1272 1141 1298 1244 763 1228 1175 2 1255 530 176 684 637 548 
4	PK338	4	15	771 202 1458 1618 166 231 764 449 2 367 452 1478 365 1556 626 239 221 240 1079 663 
5	PK338	5	16	1048 893 523 189 582 2 749 1001 248 335 957 255 967 
6	PK338	6	17	1459 931 636 1565 326 1479 458 799 3 
7	PK25	7	1	753 990 942 48 559 676 1054 784 935 857 565 356 1479 1498 606 458 932 689 3 534 1412 1042 1238 655 
8	PK25	8	2	330 4 224 369 969 147 1041 453 1082 307 622 451 152 
9	DAL300	9	10	4 1528 65 25 293 677 275 
10	PK25	10	3	4 116 976 1575 811 1451 420 1103 845 1519 
11	PK25	11	4	1481 585 1229 5 233 15 1171 
12	PK25	12	5	122 724 1622 953 6 629 1377 335 968 762 
13	PK349	13	1	500 1193 322 227 1543 625 673 415 6 1151 269 1044 444 582 1418 1305 1138 516 332 785 1262 
14	PK25	14	6	322 81 424 1301 675 653 1492 232 616 872 126 6 235 729 766 709 476 783 662 450 268 1083 747 579 433 526 226 144 555 436 1438 261 791 155 18 357 376 738 142 762 508 
15	DAL300	15	11	279 862 688 39 700 842 415 1530 471 917 90 884 919 454 807 911 35 1466 788 808 502 28 665 120 445 804 7 33 696 
16	DAL300	15	13	888 272 842 958 192 917 1101 502 7 
17	PK25	16	7	885 862 272 259 1039 403 911 35 707 677 546 7 
18	PK25	17	8	500 311 464 305 262 42 743 8 585 554 483 964 1038 428 652 9 727 717 497 779 398 777 269 1573 784 461 552 13 755 268 735 647 245 1413 1533 620 244 399 432 390 222 377 1405 494 213 121 400 54 740 373 261 200 462 127 41 300 659 1212 141 738 142 644 229 158 107 
19	PK25	18	9	1093 498 8 964 710 402 729 735 438 734 749 489 1447 213 253 54 930 790 
20	DAL300	19	14	88 22 8 298 592 691 853 467 71 602 527 537 873 31 37 110 898 
21	DAL300	20	15	292 9 59 595 74 441 32 443 
22	DAL300	21	16	624 299 9 62 344 92 435 969 287 1437 707 630 541 63 
23	DAL300	22	17	511 10 610 79 26 1442 475 1441 89 84 
24	PK25	23	10	624 299 361 11 778 1014 633 719 344 1024 92 366 969 419 261 
25	TH224	24	1	384 668 386 297 674 180 118 19 390 12 41 
26	PK25	25	11	514 1471 553 533 551 69 755 302 587 293 740 12 613 576 648 
27	PK25	26	12	311 305 424 554 736 319 191 727 440 461 13 268 118 620 44 70 213 121 135 76 400 93 223 406 127 41 795 300 738 154 40 158 
28	PK349	27	2	1002 305 786 297 1033 171 1482 159 319 611 428 674 717 497 391 1097 398 777 269 981 1573 334 866 783 13 1359 1448 986 372 1600 140 226 374 900 25 494 521 70 963 1556 871 238 137 373 200 408 462 1625 290 448 1350 659 198 823 644 1554 967 214 
29	PK25	28	13	771 492 13 208 1548 1593 569 1018 738 
30	PK25	29	14	1569 251 164 1276 14 991 1303 456 134 473 540 463 393 716 
31	TH224	30	2	1481 347 346 157 14 597 887 
32	TH224	31	3	104 80 1481 609 203 125 50 394 594 787 347 532 281 14 476 512 383 681 72 513 15 94 687 102 1102 417 540 597 600 352 455 678 470 508 
33	TH224	32	6	1446 694 78 531 904 15 891 60 822 
34	PK349	20	3	73 1420 1169 720 881 78 891 172 
35	TH224	33	4	1595 16 382 19 103 543 111 
36	PK25	34	15	1446 805 553 123 16 14 1094 
37	PK25	35	16	16 19 257 406 434 
38	TH224	35	5	16 51 1639 848 340 
39	TH224	36	7	298 17 605 97 705 1623 
40	TH224	37	8	104 1084 298 872 802 744 342 539 456 1464 705 830 922 18 858 1594 1623 
41	TH224	38	9	86 191 180 1528 19 44 374 70 214 
42	TH224	39	10	741 479 1640 100 20 1102 
43	TH224	40	11	1104 58 106 77 98 53 671 171 483 487 523 289 1406 209 427 129 607 615 603 407 179 528 96 263 1477 118 21 193 466 536 97 65 380 430 280 793 318 199 37 64 395 196 1469 278 535 66 
44	TH224	41	12	354 392 77 98 53 350 503 1456 487 289 129 471 603 528 446 21 97 95 501 380 276 876 280 883 1624 114 1452 131 1469 670 535 1635 301 
45	TH224	19	13	88 22 194 592 691 853 271 602 24 537 734 873 136 94 556 258 721 737 
46	PK25	42	17	422 798 996 942 1595 1008 847 23 496 575 375 1106 791 858 230 37 1087 
47	TH224	43	14	106 178 464 42 835 345 483 156 486 427 598 233 118 446 923 390 536 23 267 843 318 883 184 349 196 1555 478 742 
48	TH224	44	15	350 345 528 118 466 23 117 501 1532 380 276 114 30 131 349 713 1469 278 670 535 478 381 
49	PK179	45	1	1005 979 392 683 1098 803 864 274 435 363 23 793 37 93 630 184 930 670 
50	PK179	46	2	577 504 977 616 1560 1046 315 24 559 732 1545 1110 1026 1111 341 1480 580 245 333 145 547 1064 1479 776 606 555 1085 910 121 473 667 484 1184 543 413 
51	PK349	47	4	1369 937 798 934 271 24 1298 1402 1139 1178 1187 1203 329 136 1237 321 1397 1447 775 258 1209 312 413 721 930 153 154 809 1410 1352 
52	PK179	9	3	731 736 319 1000 180 1429 1430 208 140 374 65 25 574 516 76 238 230 677 93 252 519 306 
53	PK20	48	2	1197 1173 1292 26 1237 1201 1242 264 1391 519 1362 1417 1331 1475 
54	PK179	32	4	955 337 26 1003 176 1281 
55	PK179	49	5	202 1543 748 1008 931 336 849 242 89 27 1558 
56	PK349	15	5	1049 1216 1602 992 1118 1247 1199 1371 1354 1319 260 1366 1169 237 1204 457 1058 1146 1359 1351 1241 1227 760 1060 1077 927 1268 1138 1524 1328 1478 1323 1280 1345 28 772 1245 411 1195 751 567 946 1365 1382 1313 
57	PK349	50	6	1214 1220 251 1394 651 314 1261 1031 768 1091 164 227 1294 815 271 757 256 1127 1208 1258 391 777 269 1428 1246 1152 1402 1241 1329 234 294 752 1305 1494 210 692 1312 1166 715 160 1488 1375 1341 1243 393 64 29 656 87 1186 733 1094 1114 564 1134 241 
58	TH224	33	16	975 286 1000 391 1429 1470 1448 708 31 1494 635 703 
59	TH224	14	17	504 425 170 177 145 538 591 43 827 31 119 613 1585 107 
60	PK179	38	6	611 189 596 254 34 871 137 832 535 1574 301 
61	CARP25	4	1	36 125 1630 590 281 1575 105 599 477 542 998 1437 130 672 721 75 
