Course	Room	Teacher	Time	Students
1	EHLEC	1	7	1 48 65 160 191 256 353 410 506 623 853 858 935 1050 1060 1606 
2	CARP21	2	11	1 14 28 49 53 58 65 86 90 91 106 265 325 339 389 453 495 498 499 565 622 623 858 939 1515 
3	CARP21	3	15	1 37 65 86 91 160 263 277 405 460 485 637 657 677 702 759 768 817 843 846 873 960 964 965 1354 1426 1492 1505 1540 
4	CARP25	4	13	2 849 
5	DAL300	5	6	2 79 436 494 501 504 560 610 629 852 864 868 870 1051 1484 1573 1615 
6	EHLEC	6	1	3 91 169 233 448 504 612 634 717 767 813 878 921 982 1002 1383 1526 1569 
7	PK20	7	5	4 34 35 54 57 81 82 94 127 168 171 252 300 321 341 391 696 
8	TAYG	8	5	5 51 52 58 505 509 558 560 831 862 
9	TAYG	9	2	5 22 72 88 243 339 398 503 543 589 626 693 794 802 819 845 960 997 1007 1441 1532 1604 
10	DAL300	10	4	6 15 16 18 30 77 110 159 181 327 348 378 386 509 627 695 696 698 703 837 850 938 
11	TAYE	11	13	6 223 368 408 440 460 486 589 685 761 1008 1065 1118 1132 1144 1174 1179 1196 1199 1205 1210 1216 1225 1371 1453 
12	DAL119	12	4	7 10 42 60 66 73 85 106 109 129 182 183 193 208 213 381 506 522 609 660 707 717 727 733 869 992 1022 1365 1548 1549 
13	TAYF	13	17	8 11 29 47 48 62 84 144 588 695 701 887 
14	PK243	14	15	8 303 363 452 640 1510 
15	EHLEC	15	10	9 186 265 344 478 565 589 859 1015 
16	PK20	16	7	10 17 115 383 429 481 499 586 648 787 832 902 1049 1446 1450 
17	DAL1	17	3	11 394 642 977 
18	TAYG	18	9	11 70 84 144 588 
19	PK338	19	14	11 130 176 189 194 202 219 222 226 232 303 309 311 362 370 411 446 463 478 482 534 598 606 616 661 665 671 704 766 795 799 801 803 936 948 953 1006 1014 1039 1090 1100 1103 1113 1135 1143 1146 1152 1165 1177 1218 1226 1232 1251 1258 1263 1271 1281 1285 1306 1308 1311 1313 1317 1319 1335 1388 1469 1479 1504 1506 1550 
20	DAL2	20	8	12 25 75 583 897 918 1050 1432 1630 
21	DAL119	21	15	12 39 120 126 134 224 357 372 435 516 1016 1076 1086 1121 1148 1166 1209 1214 1222 1281 1310 1336 1362 1388 1443 1459 
22	TAYF	22	3	12 20 59 62 104 301 302 354 363 403 576 580 634 641 728 861 875 986 1315 
23	CARP13	23	12	13 71 97 131 395 424 792 1044 
24	TH224	24	14	15 175 330 406 501 510 
25	TH224	25	13	13 15 23 69 247 325 1347 1601 
26	DAL315	10	9	16 77 167 205 348 390 471 521 627 695 696 706 850 937 
27	PK20	26	9	17 35 54 57 83 100 115 391 451 561 563 
28	DAL119	27	3	6 17 18 30 78 120 125 183 240 255 355 396 404 407 427 455 507 544 561 579 598 604 660 662 690 729 763 767 821 931 964 1005 1017 1342 1350 1567 1570 
