Course	Subject	Room	Teacher	Time	Students
1	ENGL3	PK179	1	10	1 48 65 160 191 354 411 507 624 854 859 936 1051 1061 1606 
2	ENGL3	PK338	2	9	14 28 49 53 58 65 86 90 91 106 265 326 340 390 454 496 499 500 566 623 859 940 1516 
3	ENGL2	PK278	3	15	1 37 65 86 91 160 263 277 406 461 486 638 658 678 703 760 769 771 818 844 847 874 961 962 965 966 1355 1427 1506 1541 
4	CITY2	PK180	4	9	2 
5	POLS3	DAL119	5	17	2 79 437 495 502 505 561 611 630 736 853 865 869 871 902 1052 1574 1615 
6	ENGL2	PK25	6	1	3 91 169 233 449 505 613 635 641 768 814 879 922 983 1384 1527 1570 
7	BIOL3	PK179	7	2	4 34 35 54 81 82 94 127 168 171 252 301 322 342 392 697 
8	SPAN3	CARP21	8	15	5 51 52 58 506 510 559 561 832 863 
9	EDUC2	PK338	9	13	5 22 72 88 225 243 340 399 504 544 590 627 694 795 803 820 846 961 1008 1442 1533 1604 
10	ANTH3	PK338	10	17	6 15 16 18 30 77 110 159 181 328 349 379 387 510 628 696 697 699 704 838 851 939 
11	SPAN1	PK338	11	3	200 223 228 369 409 441 461 590 686 762 883 1009 1066 1119 1133 1145 1175 1200 1206 1217 1226 1372 1454 
12	SOCL2	PK278	12	16	7 10 42 60 66 73 85 106 109 129 182 183 193 208 213 382 507 523 610 661 708 718 728 734 809 870 993 1023 1366 1549 1550 
13	FREN3	DAL315	13	6	8 11 29 47 48 62 84 144 589 696 702 888 
14	PHYS3	TAYF	14	11	8 304 364 453 641 701 1511 1551 
15	ENGL2	CARP21	15	16	9 186 265 345 479 566 590 638 860 1016 
16	BIOL3	DAL300	16	3	10 115 384 430 482 500 587 649 788 833 903 1050 1447 1451 
17	ECON3	TAYE	17	1	11 395 643 978 
18	FREN3	TH110	18	3	11 70 84 144 589 
19	MATH2	PK20	19	5	11 130 176 189 194 202 219 222 226 232 304 310 312 363 371 412 447 464 479 483 535 599 607 617 662 666 672 705 767 796 800 802 804 937 949 954 1007 1015 1040 1091 1101 1104 1114 1136 1144 1147 1153 1166 1178 1219 1227 1233 1252 1259 1264 1272 1282 1286 1307 1309 1312 1314 1318 1320 1336 1389 1470 1480 1505 1507 1551 
20	COML3	PK243	20	9	12 25 75 584 898 919 1051 1433 1630 
21	FREN0	PK338	21	7	12 39 120 134 224 358 373 436 517 1017 1077 1087 1122 1149 1167 1210 1215 1223 1282 1311 1337 1363 1389 1444 1460 
22	RUSS2	PK25	22	2	12 20 59 62 104 302 303 355 364 404 577 581 635 642 729 876 987 1316 
23	GREK1	PK243	23	10	13 71 131 396 425 451 793 1045 
24	HIST3	PK234	24	2	15 175 331 407 502 511 
25	HIST3	TAYF	25	12	13 15 69 247 326 1348 1601 
26	ANTH3	DAL300	10	10	16 77 167 205 349 391 472 522 628 696 697 707 851 938 
27	BIOL3	CARP21	26	2	17 83 100 115 452 562 564 
28	PSYC2	PK278	27	3	6 17 18 30 78 120 125 183 240 255 356 397 405 408 428 456 488 508 545 562 580 599 605 661 663 691 730 764 822 932 965 1006 1018 1343 1351 1568 1571 
29	GEOL3	PK179	28	11	19 48 70 116 190 290 474 517 528 529 553 664 727 837 1584 
30	GEOL3	PK243	28	12	19 101 347 553 554 837 1584 
31	RUSS3	TH110	29	4	20 62 642 1462 
32	CMSC1	PK20	30	11	14 21 132 194 211 326 389 425 569 579 760 795 947 957 1068 1073 1074 1081 1085 1099 1106 1108 1125 1131 1143 1150 1168 1179 1182 1196 1213 1223 1231 1233 1236 1250 1254 1281 1290 1296 1321 1332 1354 1358 1382 1457 1493 1548 
33	POLS3	DAL300	31	4	21 251 319 330 381 493 611 828 832 855 865 869 996 1574 
34	POLS3	TAYE	32	2	22 495 558 632 
35	HIST3	PK243	33	11	23 247 407 511 558 688 700 1348 
36	ARTW2	DAL300	34	11	24 188 277 298 331 366 742 936 1020 1041 1042 1127 1376 
37	ENGL2	CARP21	15	3	24 160 259 404 962 983 1489 1593 1600 
38	ENGL2	PK25	35	9	24 95 140 158 167 203 242 292 366 369 629 671 961 1200 1345 1489 1515 
39	ENGL3	PK349	36	9	133 789 1460 
40	MATH3	TAYF	37	13	26 137 169 245 333 714 834 1458 
41	BIOL2	PK179	38	12	27 35 55 116 180 209 306 322 350 503 517 522 528 710 727 1540 
42	ARTW3	PK243	39	13	259 307 454 471 496 629 688 836 
43	ENGL3	PK25	3	3	9 28 58 90 292 308 390 509 584 626 629 650 688 901 1062 1517 1537 1618 1625 
44	ARCH3	PK234	40	3	63 71 93 331 332 
45	PSYC2	PK179	41	4	31 64 133 179 217 223 228 229 233 360 586 610 619 636 912 1025 
