Course	Room	Teacher	Time	Students
1	45	1	32	1 1 2 2 
2	2	2	3	1 1 2 2 70 70 100 100 104 104 120 120 121 125 125 131 131 134 134 142 142 171 171 210 210 217 217 273 273 283 283 311 311 396 396 417 417 426 426 427 427 438 438 442 442 515 515 524 524 547 547 576 576 656 656 804 804 835 835 863 863 875 875 892 892 923 923 930 930 933 933 1048 1048 1086 1086 1222 1222 1239 1239 1265 1265 1268 1268 1500 1500 1614 1614 1626 1626 
3	2	3	17	1 2 8 36 42 78 119 120 123 129 156 165 170 177 184 210 286 409 424 426 488 507 569 576 692 693 701 743 769 860 892 922 928 978 1043 1110 1204 1261 1286 1307 1474 1583 1677 1692 
4	2	4	37	3 205 243 293 310 330 335 372 374 387 404 468 527 709 751 785 856 937 1011 1143 1149 1163 1267 1270 1334 1339 1342 1346 1433 
5	2	5	53	3 9 50 60 64 207 391 559 693 780 833 853 1023 1037 1051 1181 1184 1188 1263 1269 1313 1443 1459 
6	2	6	61	4 143 245 271 378 387 462 716 772 859 908 1013 1036 1315 1319 1327 1496 1506 1593 1603 1638 1652 
7	41	7	2	4 17 48 50 55 143 149 480 802 1184 1361 
8	2	8	32	5 12 30 33 45 53 64 65 185 270 402 418 446 451 561 576 578 592 764 799 903 909 922 931 1040 1071 1449 1459 1539 1567 1674 
9	1	9	30	5 13 43 45 49 140 278 404 481 489 561 734 792 1249 1477 1685 
10	1	10	12	6 40 44 61 73 87 95 478 559 563 566 654 1199 1374 1442 1472 1542 1624 
11	41	11	3	7 15 42 52 54 75 94 488 493 554 1547 
12	2	12	67	7 41 42 52 121 123 156 392 405 409 418 429 488 496 569 848 954 1041 1239 1462 
13	1	13	31	9 67 89 116 722 745 1044 1054 1065 1099 1195 1215 1250 1556 1587 1597 
14	2	14	54	10 14 18 19 38 92 193 424 490 556 631 634 644 692 795 916 1033 1165 1168 1171 1178 1251 1570 
15	41	15	44	11 25 76 477 483 498 1062 1416 
16	2	16	24	12 21 23 33 46 53 63 65 67 90 190 397 402 403 404 405 411 481 561 635 719 720 734 763 764 777 799 917 1029 1173 1185 1189 1383 1441 1539 
17	2	17	26	14 74 93 103 108 222 229 232 416 447 456 471 499 541 543 628 638 665 686 708 717 767 820 854 924 1081 1093 1152 1167 1232 1448 1561 1571 1580 
18	41	18	4	16 56 218 503 701 886 1128 1262 1322 1344 1360 
19	41	19	26	16 211 646 678 977 1079 1163 1271 1660 
20	2	20	33	17 22 34 48 64 71 109 111 120 163 171 293 403 408 445 628 652 772 892 1040 1174 1177 1202 1233 1241 1379 1380 1409 1564 1637 1699 
21	41	21	28	18 20 623 650 782 786 1406 1453 1462 
22	41	22	12	20 24 27 136 214 500 504 624 694 1188 
23	2	20	15	15 22 90 101 111 170 229 255 261 284 322 374 380 406 432 481 486 492 513 605 649 696 716 724 742 758 769 850 858 873 931 993 1068 1113 1142 1308 1314 1320 1324 1340 1383 1477 1575 1650 1652 
24	2	23	49	22 35 36 47 58 70 81 94 104 142 179 184 399 406 417 584 629 748 850 863 1027 1086 1222 1261 
25	45	24	51	24 282 508 
26	2	25	50	24 46 51 136 218 222 237 242 266 390 410 454 499 533 552 557 596 628 691 703 988 1214 1250 1619 
27	2	26	21	26 38 39 43 63 119 216 365 404 434 489 579 601 698 763 769 944 946 949 950 993 1025 1039 1050 1052 1061 1104 1185 1189 1223 1259 1381 1385 1467 1561 1643 1645 1655 1663 1689 
28	2	27	23	27 79 96 110 124 130 137 145 158 175 264 280 281 487 512 531 599 639 651 657 718 765 919 962 990 1036 1063 1069 1085 1102 1196 1242 1376 1535 1592 1676 
29	2	28	4	22 28 36 47 60 104 117 142 182 184 223 225 232 244 285 302 303 322 330 359 364 371 376 430 445 468 520 584 585 605 614 622 633 662 700 706 709 711 748 820 828 832 841 850 857 863 864 870 888 889 890 897 901 907 939 957 981 1004 1007 1009 1019 1091 1105 1120 1125 1157 1160 1161 1174 1179 1266 1281 1309 1310 1321 1404 1456 1462 1473 1526 1644 
30	2	29	11	28 141 147 201 204 226 247 274 300 331 337 342 357 368 370 372 376 384 409 412 421 436 448 449 471 493 496 502 534 547 603 604 616 618 647 678 702 711 741 817 829 868 937 1045 1140 1150 1152 1216 1432 1462 1487 1538 1587 
31	2	30	55	28 147 161 286 399 444 464 554 584 693 732 781 806 807 812 916 986 1093 1205 1231 1264 1366 1408 
32	1	31	13	4 29 130 289 317 338 351 435 457 504 538 655 657 826 1007 1211 1224 
33	41	32	13	995 1023 1087 1271 1302 1480 1661 1702 
34	1	33	21	29 50 97 108 150 170 486 499 557 926 962 1038 1119 1206 1214 1285 1414 
35	1	34	60	29 68 83 106 208 223 235 317 504 655 1490 1587 
36	2	35	64	19 30 115 142 194 239 417 418 444 490 634 692 702 718 748 868 1040 1097 1100 1267 1357 
37	1	9	61	30 162 216 261 278 451 592 601 674 1272 1273 1463 
38	1	36	14	31 166 265 289 290 296 316 453 522 587 590 612 705 757 835 969 1311 1562 
39	41	28	14	32 79 91 99 169 175 506 512 1057 1688 
40	1	37	32	32 91 96 410 413 627 639 651 772 779 919 1030 1036 1069 1196 1445 
41	45	38	33	69 1115 1140 
42	1	39	22	34 293 390 482 633 642 717 761 910 911 924 1074 1164 1202 1295 1652 1696 
43	41	4	15	4 35 582 661 745 853 927 1257 1484 1683 
44	45	40	52	36 810 1446 
45	41	41	5	37 309 365 408 726 831 877 901 929 1256 1375 
46	41	42	29	37 140 1137 1255 1268 1314 1418 1437 1630 
47	45	43	1	38 66 401 408 636 1180 
48	2	20	10	15 38 58 64 93 111 112 157 171 176 187 206 257 260 261 278 284 366 403 432 434 452 530 546 644 696 697 724 730 748 936 970 1008 1039 1097 1137 1142 1213 1225 1269 1272 1273 1277 1285 1338 1369 1372 1384 1389 1402 1435 1467 1486 1488 1611 
49	2	44	34	40 62 128 139 398 410 494 518 571 641 657 673 676 725 871 984 1053 1095 1107 1167 1182 1192 1201 1207 1235 1283 1304 1400 1448 1491 1682 
50	41	45	58	6 40 61 173 1170 1195 1640 
51	2	46	38	43 108 191 226 361 372 435 504 527 624 686 703 773 974 988 1072 1111 1181 1252 1253 1259 1266 1386 1434 1435 1441 1519 1588 1614 
52	41	38	30	44 194 507 1065 1078 1111 1446 1461 1673 
53	2	47	39	45 83 111 122 138 198 205 271 312 338 388 452 619 709 758 820 875 886 902 925 934 1088 1147 1336 1350 1356 1374 1477 1678 
54	45	48	17	46 390 688 1300 1389 
55	2	49	6	3 49 115 134 166 194 217 218 248 259 307 335 361 365 437 442 468 475 539 548 555 597 618 674 676 687 689 691 709 710 714 716 736 740 747 805 816 818 833 834 836 837 868 880 888 902 933 1012 1139 1142 1143 1146 1150 1212 1258 1262 1266 1270 1276 1313 1314 1340 1341 1344 1349 1351 1521 1554 1622 
56	41	50	45	49 206 270 284 530 649 792 993 
57	2	7	47	20 49 50 112 113 126 206 298 375 407 430 538 671 753 865 1089 1124 1165 1214 1238 1244 1247 1262 1466 1481 
58	1	33	2	51 80 174 182 246 370 382 602 655 785 862 970 1004 1095 1400 1479 1521 1584 1634 
59	45	51	18	51 963 1185 1476 1584 
60	1	52	62	51 256 439 532 573 999 1346 1468 1502 1513 1622 1687 
61	1	53	49	51 79 151 665 849 1076 1134 1211 1346 1402 1479 1507 1594 
62	1	19	23	54 62 68 82 144 484 491 568 577 630 637 646 942 1024 1171 1368 1407 
63	1	54	43	27 55 56 183 401 415 595 663 773 961 970 1180 1618 1678 
64	41	51	46	57 613 658 662 899 1455 1569 1607 
65	2	7	20	46 57 199 233 252 299 341 342 350 383 386 440 443 447 454 573 616 714 800 817 872 1015 1021 1062 1085 1096 1139 1198 1209 1213 1301 1310 1316 1430 1432 1463 1496 1498 1524 1578 1586 
66	2	55	35	30 47 55 57 100 113 165 179 286 397 406 426 554 569 629 733 742 763 796 917 945 1081 1086 1090 1220 1222 1239 1268 1292 1473 
67	41	56	47	58 161 183 690 740 1172 1268 1577 
68	41	15	6	11 59 443 445 473 793 830 1003 1097 1100 
69	1	57	63	59 254 273 455 581 671 684 919 1043 1396 1497 1608 
70	1	58	33	60 135 149 391 562 631 931 980 1031 1229 1271 1288 1290 1291 1317 1475 
71	1	16	44	5 23 67 152 157 162 432 495 578 1026 1042 1467 
72	2	5	29	68 77 80 83 129 172 207 208 222 235 236 247 257 289 389 589 590 706 862 881 891 929 953 963 966 970 1096 1100 1248 1269 1296 1608 
73	2	59	56	69 153 214 317 574 628 636 654 670 694 731 758 759 987 1028 1122 1221 1236 1279 1372 1451 1466 1670 
74	2	11	62	8 70 123 164 185 217 228 290 429 523 533 673 701 747 769 815 857 893 923 954 1116 1553 
75	45	60	2	71 107 266 268 575 861 
76	2	60	42	21 71 72 84 105 257 261 285 341 719 777 791 801 911 932 1006 1113 1148 1218 1374 1414 1442 1460 1464 1465 1524 1547 1630 
77	1	44	35	72 195 228 251 276 331 349 447 840 882 902 971 1094 1215 1548 1550 
78	2	61	57	73 134 146 431 537 650 661 695 696 766 804 809 859 867 961 1274 1298 1397 1410 1461 1541 1574 1584 
79	45	10	34	73 393 1145 1199 
80	1	62	3	74 106 136 277 319 419 458 655 663 768 943 985 1046 1105 1388 1421 1452 1609 1642 
81	41	63	48	74 78 263 856 960 988 1569 
82	1	15	50	76 425 483 485 625 807 930 940 1032 1075 1083 1176 1204 
83	41	32	16	77 107 236 336 377 740 787 1125 1504 
84	2	17	46	77 84 133 195 206 255 297 307 331 337 357 377 428 537 575 630 736 887 906 1049 1082 1125 1149 1190 1194 1606 
85	41	64	31	80 475 501 782 787 849 1038 1096 1681 
86	41	56	59	25 58 75 81 394 766 
87	41	56	17	81 425 459 544 667 732 781 804 1000 1345 
88	2	15	48	82 100 192 212 219 286 288 405 523 533 656 780 782 872 893 934 1090 1115 1121 1267 1318 1474 1495 1498 1589 
89	1	65	24	84 192 312 348 388 495 509 587 598 599 658 672 825 1303 1355 1454 1679 
90	2	66	8	9 23 56 84 114 132 153 173 200 227 249 259 295 340 352 389 402 474 572 589 670 671 723 753 786 795 886 891 937 998 1000 1064 1092 1101 1117 1119 1144 1147 1183 1193 1206 1237 1263 1298 1299 1422 1432 1447 1484 1520 1525 1542 1555 1575 1592 1596 1608 1669 1694 
91	45	67	35	85 88 163 721 
92	2	68	40	86 169 186 246 270 313 333 334 336 345 380 384 428 465 472 534 687 802 836 880 990 1017 1063 1094 1245 1305 1314 1447 1492 
93	2	65	43	21 87 105 107 265 268 332 369 379 383 436 559 575 689 731 993 997 1017 1029 1048 1080 1083 1331 1458 1527 1540 1653 1666 
94	41	69	7	89 250 613 745 829 906 1526 1530 1539 1631 1659 
95	45	70	36	90 371 1073 1436 
96	2	67	27	91 143 154 166 240 241 253 259 260 269 271 412 573 580 653 668 792 810 880 928 938 992 1018 1173 1247 1260 1300 1373 1413 1546 1552 1564 1605 
97	1	71	4	85 88 91 158 181 593 627 669 859 979 980 1036 1103 1205 1278 1283 1284 1319 1550 
98	45	72	19	98 118 431 1085 1581 
99	1	73	25	100 171 423 426 569 697 758 771 917 941 944 1050 1189 1222 1239 1395 1614 
100	1	74	5	101 126 137 157 373 463 560 585 680 757 872 954 982 993 1077 1220 1339 1511 1650 
101	45	75	3	102 109 173 572 1006 1103 
102	2	17	30	86 103 187 212 234 237 292 310 339 376 439 450 452 502 585 603 661 710 808 812 858 1047 1082 1124 1143 1208 1274 1308 1342 1417 1440 1450 
103	1	76	15	106 299 402 729 870 871 972 1012 1016 1099 1264 1269 1311 1334 1335 1487 1525 1536 
104	2	13	58	106 254 277 322 521 581 663 719 834 1030 1044 1061 1067 1092 1105 1289 1400 1401 1433 1488 1514 1642 1693 
105	41	60	60	107 268 522 559 861 1299 1472 
106	41	25	8	108 174 235 740 767 854 963 1248 1433 
107	2	43	68	109 160 337 348 353 441 542 612 621 741 818 905 987 1014 1243 1253 1326 1474 1478 1532 
108	1	77	37	12 109 220 448 615 659 864 935 1026 1144 1233 1313 1478 1700 
109	45	78	53	109 553 1180 
110	34	79	6	110 428 
111	45	29	4	53 111 119 188 190 799 
112	1	80	64	112 150 152 226 229 557 926 996 1183 1378 1509 1616 
113	1	81	26	112 135 241 352 487 498 867 960 994 1136 1300 1410 1423 1426 1452 1630 1658 
114	1	68	65	113 146 560 633 757 802 1077 1207 1549 1625 1633 1657 
115	1	82	6	114 295 308 314 332 372 384 614 961 972 1125 1206 1419 1510 1527 1593 
116	1	83	51	79 110 114 163 169 529 531 752 968 1242 1529 1592 1604 
117	1	84	7	114 130 264 269 414 518 528 672 707 765 772 865 975 989 1084 1118 1301 1304 1445 
118	41	85	18	115 279 297 315 345 518 843 847 1029 1355 
119	41	86	19	117 177 178 220 453 794 797 852 1217 1246 
120	41	87	9	117 160 177 178 453 794 797 852 1217 1246 
121	2	55	2	117 117 162 162 192 192 199 199 219 219 252 252 273 273 274 274 275 275 295 295 299 299 304 304 307 307 308 308 310 310 338 338 339 339 343 343 356 356 365 365 386 386 435 435 442 442 454 454 455 455 467 467 472 472 502 502 506 506 515 515 530 530 534 534 535 535 536 536 547 547 549 549 619 619 653 653 680 680 697 697 711 711 713 713 715 715 721 721 733 733 749 749 812 812 817 817 819 819 820 820 830 830 832 832 991 991 1017 1017 1019 1019 1099 1099 1116 1116 1139 1139 1141 1141 1151 1151 1152 1152 1212 1212 1220 1220 1272 1272 1277 1277 1302 1302 1309 1309 1312 1312 1316 1316 1347 1347 1373 1373 1476 1476 1487 1487 1515 1515 1531 1531 1579 1579 
122	41	56	61	118 497 510 564 658 1197 1461 
123	45	87	54	120 396 
124	1	88	52	32 122 134 147 427 505 511 514 564 809 986 1171 1241 
125	2	89	9	124 141 163 200 225 260 301 327 330 342 344 352 354 360 362 371 385 388 443 456 460 525 541 544 550 600 603 609 660 667 755 803 821 831 846 1013 1022 1142 1154 1156 1158 1175 1240 1275 1293 1300 1305 1387 1401 1408 1436 1483 1515 1530 1533 1566 1629 1636 
126	1	42	34	126 244 274 302 318 416 471 537 613 749 828 903 929 979 1212 1698 
127	2	90	13	127 175 197 211 281 305 329 339 347 355 358 383 469 508 565 602 615 619 688 689 735 793 838 855 883 921 939 950 1016 1018 1048 1089 1098 1106 1187 1214 1226 1247 1309 1348 1350 1395 1429 1530 1582 1583 1595 1628 1646 
128	2	91	5	128 145 189 216 233 245 272 276 298 301 305 311 316 320 340 341 350 353 355 358 367 369 377 399 455 461 495 505 526 550 571 626 641 643 664 666 677 703 756 808 814 884 895 899 968 971 972 979 991 1013 1015 1018 1048 1066 1088 1116 1117 1122 1154 1176 1253 1315 1328 1329 1332 1336 1343 1349 1350 1425 1496 1512 1523 1533 1545 1587 1614 1623 1656 
129	1	34	16	83 128 198 207 287 346 463 536 851 887 949 955 1052 1126 1266 1274 1311 1398 
130	2	92	1	8 8 76 76 129 129 138 138 161 161 162 162 164 164 165 165 192 192 199 199 212 212 219 219 228 228 233 233 252 252 275 275 288 288 290 290 294 294 300 300 307 307 336 336 338 338 343 343 364 364 376 376 382 382 386 386 467 467 523 523 535 535 536 536 548 548 549 549 620 620 625 625 701 701 735 735 742 742 747 747 780 780 809 809 815 815 819 819 830 830 893 893 934 934 967 967 1010 1010 1012 1012 1017 1017 1024 1024 1032 1032 1045 1045 1090 1090 1093 1093 1116 1116 1152 1152 1216 1216 1264 1264 1267 1267 1276 1276 1306 1306 1335 1335 1336 1336 1341 1341 1343 1343 1410 1410 1476 1476 1482 1482 1487 1487 1495 1495 1497 1497 1498 1498 1515 1515 1531 1531 
131	2	93	51	77 129 146 250 258 446 555 588 663 723 829 945 969 1187 1190 1194 1218 1274 1306 1459 1467 1486 1569 1678 
132	2	94	63	3 130 191 203 238 277 288 336 339 496 502 713 811 817 830 920 1138 1141 1240 1603 1641 1664 
133	2	95	18	131 135 145 154 168 209 232 259 267 269 312 325 528 531 566 593 594 597 602 659 660 669 672 681 723 788 878 898 904 979 980 989 1103 1109 1118 1170 1260 1284 1301 1392 1393 1493 1558 1593 
134	45	96	37	132 450 1080 1466 
135	45	59	55	132 438 513 
136	1	61	45	132 226 334 359 612 618 881 973 1123 1244 1312 1576 1604 
137	41	97	10	103 133 255 415 722 856 960 963 1049 1438 
138	1	67	38	135 145 158 181 433 448 567 659 1069 1076 1166 1186 1202 1245 1550 
139	45	72	56	136 558 624 
140	41	39	49	122 137 157 460 670 1099 1219 1331 
141	2	98	31	92 141 144 238 260 327 328 450 509 510 583 600 667 746 761 775 791 803 920 928 959 964 976 977 1000 1130 1175 1200 1293 1429 1628 1639 
142	41	99	32	146 154 519 642 1074 1078 1219 1290 1473 
143	1	100	27	27 148 150 223 313 407 422 483 513 572 639 959 1019 1206 1256 1464 1627 
144	2	101	12	149 167 176 225 248 249 256 263 264 344 347 368 371 388 414 436 454 469 474 545 547 596 615 667 668 677 713 722 737 814 823 835 883 914 1020 1114 1123 1190 1254 1276 1333 1352 1358 1419 1437 1455 1502 1517 1520 1647 
145	41	102	62	155 552 637 647 813 1419 1509 
146	45	103	5	155 172 445 527 647 728 
147	1	104	66	6 20 61 73 159 266 478 563 1002 1202 1624 1640 
148	41	105	20	160 178 220 453 794 797 852 983 1217 1246 
149	1	106	67	164 253 361 610 682 784 884 885 1209 1327 1329 1485 
150	2	107	19	131 167 193 212 231 235 242 250 260 264 272 281 292 331 335 358 374 385 435 475 549 585 604 606 616 671 815 937 975 1032 1082 1118 1139 1149 1244 1252 1254 1343 1482 1495 1518 1526 
151	2	108	16	119 156 167 231 258 274 291 292 294 310 392 395 407 420 468 517 555 588 702 715 718 733 796 833 850 922 923 933 965 973 1025 1146 1181 1238 1244 1261 1341 1361 1406 1420 1474 1494 1515 1518 1613 
152	34	109	7	168 1489 
153	2	27	36	96 99 169 180 218 410 412 414 487 492 512 672 676 700 707 718 731 768 779 975 1063 1084 1102 1117 1118 1182 1249 1301 1529 1604 
154	45	102	57	172 220 1325 
155	41	110	33	173 368 378 617 689 739 966 1089 1330 
156	41	111	34	147 174 196 475 634 754 961 1037 1097 
157	45	51	20	174 696 881 1169 1433 
158	41	79	21	154 172 176 291 390 565 661 1295 1373 1574 
159	2	112	65	176 234 238 256 262 276 291 293 378 519 545 567 640 717 882 928 1108 1294 1386 1520 1585 
160	2	71	52	131 180 189 245 251 302 329 360 582 597 608 867 894 1056 1113 1170 1219 1350 1423 1496 1508 1513 1603 1669 
161	1	113	46	181 245 298 305 316 515 666 677 814 958 991 1086 1485 1529 
162	45	114	38	186 205 883 1199 
163	2	62	69	188 208 236 282 380 421 449 480 521 545 682 808 858 865 885 929 934 956 1079 1250 
164	41	52	35	189 199 233 342 370 668 726 1122 1578 
165	1	40	68	105 191 213 306 314 332 370 531 589 1140 1527 
166	41	115	50	115 189 193 228 955 1303 1588 
167	41	38	22	194 389 783 891 1047 1117 1397 1498 1562 1594 
168	45	78	58	196 864 1080 
