Students	3000
1	6386 4173 7825 6315
2	3341 9899 1524 3613
3	2588 2961 4692 6874
4	1966 3479 6526 7438
5	9481 2157 4884 6066
6	6641 1901 5500 2972
7	3516 2722 2876 169
8	3499 9291 8353 9630
9	4853 673 3498 574
10	8116 5401 1883 5911
11	3990 7667 2948 2215
12	2261 6019 4070 9871
13	4635 9361 2443 2582
14	220 4159 5868 5012
15	3100 5417 86 7922
16	4442 4341 1591 5108
17	3514 391 5858 1206
18	650 863 6116 3967
19	2414 9169 1889 5940
20	3268 3749 6912 5158
21	5936 4072 5130 927
22	3039 2745 1602 2340
23	7735 3342 2404 3773
24	69 626 7248 2953
25	6009 2301 8426 5059
26	7146 1938 5810 6808
27	3573 9162 5842 898
28	180 2262 1372 6344
29	5775 7207 2593 8886
30	4857 6100 8617 7188
31	7255 3843 5976 1338
32	1222 8580 8765 6065
33	11 4900 4670 152
34	758 7290 8738 8079
35	2081 9488 9687 9624
36	3800 5799 1675 6887
37	8222 6677 2714 7117
38	8590 9626 2053 9441
39	1447 340 5638 6613
40	7161 8831 6695 1567
41	6988 2602 8187 6858
42	7367 8718 3698 1925
43	8334 9517 1551 4076
44	4841 1639 4943 9644
45	8338 4812 4622 9021
46	3444 8397 4251 5279
47	7102 8870 6065 9535
48	7853 7321 2473 5659
49	2304 451 9792 2713
50	7332 2727 2875 645
51	6978 8090 3654 5263
52	5450 2194 4985 3865
53	4330 6608 1117 6738
54	6536 3837 2768 79
55	9167 1693 3576 7921
56	5990 611 3472 9000
57	686 2145 6526 5858
58	8223 8547 6761 9095
59	1995 5037 6331 7753
60	2970 9789 9871 5196
61	7565 3792 5509 8290
62	7987 9330 3435 576
63	1000 2968 3611 8798
64	3732 6393 4348 7584
65	2026 6397 7577 2121
66	3526 7590 6594 853
67	3381 7268 209 4065
68	918 9143 8299 3685
69	5429 9712 7869 846
70	4490 9780 3447 1280
71	8726 1503 8869 2105
72	9177 4192 9676 4130
73	2552 6600 2115 721
74	2324 9363 9355 1137
75	425 4429 1553 3941
76	2193 2544 9747 4804
77	2038 40 5698 5121
78	6357 120 9495 151
79	4691 5572 3105 1785
80	7556 1260 2871 4974
81	6336 8821 4037 3612
82	4960 8819 288 1490
83	6594 9129 5775 3504
84	9514 2717 3418 8467
85	1808 4301 4008 5914
86	3041 7755 5942 8530
87	5027 4805 5601 9262
88	2160 8673 6404 7479
89	2161 3116 8639 3462
90	9672 152 7971 1213
91	1019 6742 4104 9300
92	8077 8395 972 1072
93	868 3223 9813 3768
94	2138 3963 8029 334
95	6307 4148 1292 4292
96	9988 2616 8300 2944
97	742 3159 6182 5255
98	5202 2043 6919 560
99	1578 9777 8427 2216
100	5448 7572 8046 5532
101	1329 6901 6044 2779
102	6859 9235 5127 5505
103	6308 4888 1561 8203
104	7120 5870 9932 20
105	7287 9200 7391 6535
106	4390 9348 2729 692
107	4587 1812 9286 6287
108	3671 3465 9565 4329
109	3403 8789 9867 9519
110	6985 7560 9028 2711
111	3878 7759 699 4520
112	8825 4485 101 3644
113	4425 9333 5855 1279
114	3738 6231 4765 5389
115	6088 6008 2045 7386
116	8617 8165 3844 571
117	372 507 423 8106
118	8296 4656 2268 6316
119	2898 3105 3021 1965
120	9387 4661 401 4469
121	473 4093 2352 2404
122	3952 5745 1376 9514
123	9739 3191 6217 6791
124	1547 8981 471 2052
125	1416 2468 979 6400
126	5475 5152 1498 2599
127	5349 3126 5660 4847
128	6663 4811 6883 3808
129	8060 9371 6076 7907
130	6460 855 2662 9241
131	6308 4498 2959 4643
132	7904 2482 6989 3327
133	7281 5332 491 8335
134	3492 3700 890 238
135	8481 1187 2008 5830
136	6364 7832 2996 9087
137	8105 2645 7786 5634
138	910 1907 5773 9043
139	9767 3599 5730 8280
140	8339 1239 9361 790
141	3808 7270 9585 7380
142	2462 5053 578 43
143	1083 3198 840 6090
144	1063 8559 8828 4799
145	4137 7539 9872 1686
146	8639 5545 7748 427
147	4986 3489 9107 455
148	6958 8252 1228 5762
149	8312 2061 5952 6139
150	978 8072 5147 8954
151	3853 6064 6083 7845
152	8936 1425 1629 3977
153	1983 1695 8322 7460
154	7123 71 896 7439
155	2032 2851 777 2441
156	1791 4081 6948 588
157	3804 2993 4152 7078
158	2928 8685 7155 3293
159	8874 8209 2263 4277
160	7217 3308 2623 5162
161	9785 2968 1621 315
162	403 2250 5710 3917
163	2067 6984 1679 7016
164	2496 1671 3437 2735
165	6081 7602 4836 9383
166	2778 6791 694 6281
167	3183 7169 612 1834
168	5392 6579 5117 9886
169	3394 8945 1546 2876
170	484 561 6326 7511
171	9848 8307 9325 6327
172	288 3864 5786 1910
173	8649 8219 8387 6964
174	4340 2108 9991 4797
175	1455 9250 834 9911
176	3112 7344 8889 5667
177	2094 4778 888 5974
178	4719 9894 3522 5450
179	7830 1432 9271 9644
180	5087 8622 1677 5173
181	512 3339 7960 2572
182	8013 3967 8050 416
183	2772 6263 3546 2922
184	7837 3880 5870 9501
185	9687 4340 3085 210
186	4154 2692 246 7081
187	6867 7805 9762 5994
188	4904 6928 9581 5066
189	1805 4820 6955 3068
190	1500 54 333 9684
191	6509 4328 8369 9743
192	7201 263 2117 6867
193	5935 9705 8763 1160
194	7869 1536 4697 8148
195	8521 4919 4534 6672
196	2445 8396 5750 5747
197	2281 5884 5889 811
198	9006 9089 8474 8667
199	2312 9743 2695 5549
200	1111 204 1068 1247
201	3340 3942 4200 3206
202	8282 8180 5933 1847
203	3965 5102 8789 2647
204	3943 9569 4996 2131
205	7650 4959 3690 6186
206	3904 2461 9040 6749
207	9180 6932 6114 1031
208	8564 6061 3096 9139
209	4287 2232 6697 7009
210	2431 4027 7025 1625
211	4490 8860 3323 1838
212	5221 9913 256 7044
213	8768 325 8403 6260
214	9885 9803 2327 4691
215	8649 3456 5502 3988
216	4202 8065 6343 5590
217	3534 6308 1868 5603
218	4240 7051 751 744
219	8621 7814 1829 1282
220	9975 510 5956 1373
221	8676 591 2307 4578
222	5586 3509 6198 1946
223	7079 7099 5777 8316
224	9577 8729 3848 5234
225	1055 7212 7842 4132
226	2754 168 2821 3600
227	822 2184 6352 9180
228	5292 442 149 2241
229	2499 5984 6455 7085
