Course	Room	Teacher	Time	Students
1	436	3495	9	2281 
2	145	1922	10	
3	436	1117	10	1532 
4	290	969	1	
5	290	4076	2	
6	492	1346	1	
7	290	2468	3	
8	492	2279	2	1345 
9	922	3900	8	1546 1671 
10	922	4948	9	529 1644 
11	922	4534	10	33 2629 
12	492	2036	4	2712 
13	492	1665	3	1115 
14	280	4389	1	1720 1858 
15	492	1257	5	
16	492	2295	6	1986 
17	492	828	7	1852 
18	492	2470	8	1413 
19	280	1991	2	231 1388 
20	280	3623	3	104 2124 
21	290	739	4	
22	290	3320	5	
23	280	4062	4	1284 1674 
24	290	2053	6	
25	492	759	9	
26	280	2061	5	337 2051 
27	492	1664	10	256 
28	280	1878	6	362 1107 
29	676	5	1	501 
30	280	2498	7	592 1271 
31	676	3808	2	1233 
32	280	4066	8	1053 2870 
33	280	355	9	741 
34	280	954	10	1989 
35	290	385	8	
36	676	1147	3	1352 
37	290	1453	7	
38	290	53	9	
39	290	2758	10	
40	917	4939	1	77 1378 
41	676	184	4	
42	218	1835	5	707 2273 2410 2662 
43	917	641	2	142 
44	676	4956	5	
45	95	710	1	
46	676	1883	6	2584 
47	95	4019	2	
48	676	4702	7	2426 
49	917	3223	3	
50	676	354	8	2543 
51	676	2875	9	2254 
52	676	4410	10	2131 
53	216	1655	1	
54	216	2499	2	190 
55	917	2801	4	303 1468 
56	216	4394	3	2005 
57	216	3578	4	1105 
58	723	2204	4	872 1779 2009 
59	218	6	6	503 2193 2225 2486 
60	917	4622	5	843 1041 
61	95	317	3	
62	95	1713	4	
63	917	4694	6	324 840 
64	95	892	5	
65	216	4856	5	
66	95	2096	6	
67	216	4491	6	2567 
68	917	371	7	2362 2399 
69	216	4929	7	24 
70	216	664	8	364 
71	917	182	8	154 2780 
72	917	1804	9	1454 2920 
73	216	3680	9	336 
74	95	2820	7	
75	216	4980	10	1207 
76	95	423	8	
77	95	480	9	
78	95	4160	10	
79	452	2326	1	54 
80	424	2159	1	
81	917	1905	10	1348 2837 
82	452	4849	2	2666 
83	424	4572	2	
84	424	870	3	
85	424	2043	4	
86	723	3632	5	15 2115 2776 
87	424	3039	5	
88	452	3766	3	2224 
89	723	1173	6	263 370 2566 
90	214	615	1	828 2429 
91	452	968	4	1573 
92	452	1389	5	
93	723	1675	7	742 1506 2178 
94	452	1267	7	2925 
95	214	2683	2	684 1092 
96	452	2348	6	1252 
97	424	622	6	
98	214	2684	3	822 1767 
99	214	363	4	2300 2417 
100	452	4548	8	432 
101	452	3684	9	112 
102	424	1049	7	
103	214	2754	5	2290 2756 
104	424	2005	8	
105	214	2687	6	635 
106	214	1527	7	598 2649 
107	424	1730	9	
108	424	2148	10	
109	659	2622	1	
110	659	1488	2	
111	452	2289	10	2330 
112	659	1105	4	
113	659	3151	5	
114	554	1504	1	283 
115	554	1280	2	1145 
116	659	4124	3	
117	659	2476	6	
118	214	2819	8	716 2708 
119	214	231	9	1961 2694 
120	554	3456	3	78 
121	214	4824	10	
122	554	2941	4	
123	554	3269	5	
124	723	4717	8	1320 1574 1904 
125	26	4094	1	398 2166 
126	554	3288	6	523 
127	26	3423	2	852 1625 
128	26	3493	3	663 2297 
129	26	4495	4	494 2983 
130	659	3943	7	
