Students	100
1	1983 2827 3407 245
2	2766 79 4804 61
3	4581 948 3870 601
4	1417 197 497 2620
5	249 640 2823 4770
6	3895 2013 3113 3454
7	866 1744 3638 3804
8	4539 1005 317 2969
9	425 2384 4065 1371
10	4598 3617 3912 18
11	959 2653 3985 4004
12	4078 158 4729 1015
13	4378 4837 4298 2713
14	3792 131 3043 2880
15	3250 2255 4528 4850
16	193 2860 2327 3255
17	4211 4906 327 4089
18	4965 4683 4715 3317
19	2189 2096 860 2462
20	2286 674 4819 4957
21	2107 4889 31 1419
22	3873 3863 4417 54
23	2046 4773 4561 4029
24	653 3183 4127 59
25	3124 4182 1266 2538
26	4965 2910 4353 4137
27	1509 4595 220 4671
28	3666 1200 1705 3665
29	2036 3768 134 3287
30	467 3445 3591 4967
31	878 293 1978 2185
32	49 2547 2885 811
33	1615 1076 1751 1148
34	2296 2886 1392 4288
35	4815 506 3384 580
36	2038 2719 362 1450
37	926 4084 2927 438
38	3235 975 3421 1212
39	4915 4005 552 4489
40	1487 3932 2125 2845
41	3535 4730 2388 4308
42	35 60 1797 2593
43	2576 2895 4919 2879
44	2210 2377 426 1813
45	1721 3009 438 54
46	2388 2063 1195 4315
47	3893 3248 3104 1659
48	3111 4678 4626 509
49	4064 4335 1212 498
50	2925 1271 4446 307
51	4592 3906 2647 1077
52	2919 876 1985 697
53	23 4018 1900 432
54	4679 3374 2360 2361
55	4218 413 3640 33
56	3547 2442 1740 2687
57	1358 3968 4610 3396
58	3688 2412 3701 64
59	76 2315 2527 684
60	414 125 4052 1401
61	1526 2948 2732 270
62	658 3533 2557 1402
63	2661 3280 589 2978
64	4246 2662 1641 3231
65	395 2999 4986 2462
66	1861 724 1525 871
67	570 4781 885 4984
68	181 3636 3215 3656
69	2905 870 1510 3669
70	707 4927 451 3146
71	4123 300 3665 1157
72	1220 20 3998 1799
73	1531 4555 2664 487
74	2644 4207 1654 1627
75	3194 3284 1526 1913
76	4317 2183 4960 4357
77	3664 1283 2424 3360
78	2335 3868 3865 2437
79	984 3321 1838 4141
80	3677 1412 3571 2613
81	1268 4561 4524 624
82	3271 680 3318 678
83	1725 1258 193 3532
84	2045 2209 166 2458
85	1439 4118 728 4657
86	1249 1648 1714 2018
87	1547 246 4916 862
88	2045 2925 242 3617
89	2717 3842 1887 381
90	4403 3949 2009 3917
91	3013 911 3896 592
92	875 4491 4286 528
93	3262 4065 3671 2626
94	3689 3972 4236 2076
95	42 147 1248 1426
96	2894 3307 2956 3552
97	3279 790 124 98
98	4035 4617 4809 3903
99	1222 4241 2607 4706
100	914 552 1693 467
Students	100
1	3809 1045 4590 3548
2	633 2320 567 679
3	4407 147 1861 828
4	1230 4946 713 3748
5	4193 2261 2278 1848
6	112 1768 1197 1239
7	830 4745 2539 1301
8	754 4185 2269 899
9	3284 273 2257 4286
10	2873 177 2608 3313
11	640 3863 3045 2665
12	4894 577 2779 4858
13	1481 3173 3108 1523
14	4198 1717 4142 4939
15	4264 3849 89 878
16	3212 2641 4336 2869
17	977 4119 4804 3066
18	101 4762 2285 2891
19	2179 997 3558 3510
20	4956 4787 174 3517
21	1192 4452 1916 1907
22	869 2973 2013 4574
23	3829 640 3175 2206
24	4238 3285 3194 2093
25	2539 818 291 3160
26	4958 4843 2913 2454
27	267 3897 676 1618
28	4892 104 1482 2985
29	4633 2656 4115 3196
30	2195 4596 2286 1591
31	2276 1546 38 4434
32	4557 664 3620 2803
33	1318 2639 1496 2035
34	1452 3608 3698 2090
35	1954 747 4522 3378
36	3797 2785 2896 4172
37	1115 3925 2969 2987
38	4219 2767 677 4537
39	1991 1597 548 2318
40	2298 363 728 1390
41	2963 4312 3557 4812
42	1745 2416 1517 2734
43	3149 1715 4670 4845
44	441 1563 902 389
45	3354 3636 295 2894
46	4690 2801 2396 4307
47	1653 3362 1177 4978
48	816 2562 2432 1684
49	2245 2030 3353 2181
50	446 4186 2261 993
51	4508 3793 4092 849
52	460 4134 151 1270
53	1333 2868 154 901
54	4560 2030 4196 1681
55	1970 823 3569 3507
56	890 4596 3341 636
57	4584 510 3131 305
58	3938 3908 4220 2517
59	2649 1835 2987 4224
60	4203 3916 4000 3351
61	2112 4187 3025 1935
62	749 1068 4727 4645
63	3004 690 4233 4923
64	4829 15 2574 1915
65	4776 623 856 187
66	2212 3788 1026 1398
67	4200 3277 4961 2616
68	2710 4542 228 4805
69	3107 4248 2972 4153
70	2684 957 685 2999
71	571 3660 2845 4972
72	4966 1657 3005 4916
73	434 92 4816 4013
74	732 516 1641 3108
75	184 4057 3078 402
76	4350 4622 4432 1841
77	1314 713 301 3466
78	107 3692 1271 2748
79	4226 3117 1667 2281
80	4043 1212 4431 1671
81	2635 4754 4954 967
82	4808 2168 4900 3470
83	3228 3221 3266 3199
84	4587 252 3593 4265
85	1002 981 2198 3769
86	4647 3617 3438 2777
87	4330 3775 3576 1352
88	2 2803 3167 4180
89	1273 2890 3442 18
90	4000 2235 1102 1164
91	112 3724 2594 2472
92	1405 2782 2327 2697
93	2352 242 3859 412
94	2670 2213 450 1314
95	698 2755 1206 1906
96	2659 3062 568 4645
97	2615 120 1995 2180
98	4032 3281 3152 1273
99	2144 1915 4912 2741
100	3870 4325 4300 4951
