Course	Room	Teacher	Time	Students
1	17	2262	45	
2	16	29	55	189 
3	17	1127	46	
4	17	368	47	
5	17	873	48	
6	17	821	49	
7	17	770	50	
8	17	1249	51	
9	17	1534	52	
10	17	1211	53	
11	17	1252	54	
12	17	1888	55	
13	17	2041	56	
14	17	1426	57	
15	16	2407	56	165 
16	17	1435	58	
17	17	1936	59	
18	16	116	4	10 190 
19	17	363	60	
20	16	1030	57	72 
21	17	2421	61	
22	17	2362	62	
23	16	340	58	53 
24	17	1624	63	
25	17	2481	64	
26	17	931	65	
27	17	312	66	
28	17	1751	67	
29	17	2354	68	
30	17	2081	69	
31	16	2266	59	21 
32	17	111	70	
33	16	935	60	55 
34	17	1447	71	
35	16	1674	61	42 
36	17	2431	72	
37	17	72	73	
38	16	254	62	132 
39	17	984	74	
40	17	2372	75	
41	17	955	76	
42	16	2424	63	95 
43	17	2118	77	
44	17	2097	78	
45	17	591	79	
46	17	2303	80	
47	17	988	81	
48	17	1231	82	
49	16	1948	64	32 
50	17	254	83	
51	17	1780	84	
52	17	851	85	
53	17	234	86	
54	16	745	5	22 45 
55	17	1913	87	
56	17	2444	88	
57	17	2225	89	
58	17	1194	90	
59	16	780	65	24 
60	16	350	66	42 
61	16	1901	67	2 
62	17	1976	91	
63	17	2476	92	
64	16	2272	68	58 
65	17	954	93	
66	17	2013	94	
67	17	828	95	
68	17	755	96	
69	17	1933	97	
70	17	646	98	
71	17	1526	99	
72	17	180	100	
73	86	1622	1	
74	86	409	2	
75	86	100	3	
76	16	1221	69	59 
77	86	1184	4	
78	86	452	5	
79	16	2421	70	2 
80	86	185	6	
81	86	1676	7	
82	86	1539	8	
83	86	671	9	
84	86	1701	10	
85	86	728	11	
86	86	38	12	
87	86	686	13	
88	86	1059	14	
89	16	2237	71	116 
90	86	1898	15	
91	86	790	16	
92	16	2174	72	174 
93	86	1399	17	
94	86	809	18	
95	86	290	19	
96	86	1121	20	
97	86	807	21	
98	16	1199	73	97 
99	86	178	22	
100	16	1258	74	101 
101	16	1204	75	119 
102	86	2242	23	
103	86	903	24	
104	16	234	76	129 
105	86	1105	25	
106	86	1709	26	
107	16	304	77	179 
108	86	2153	27	
109	86	451	28	
110	86	2267	29	
111	86	2173	30	
112	16	2280	6	107 192 
113	86	236	31	
114	86	285	32	
115	86	773	33	
116	86	2369	34	
117	86	1329	35	
118	86	505	36	
119	86	1344	37	
120	16	925	78	198 
121	86	1678	38	
122	86	1102	39	
123	86	24	40	
124	16	2347	79	97 
125	16	1478	80	60 
126	86	539	41	
127	86	2497	42	
128	86	2299	43	
129	86	611	44	
130	86	1744	45	
131	16	984	81	14 
132	86	1731	46	
133	86	37	47	
134	16	1493	82	29 
135	86	1784	48	
136	86	431	49	
137	86	978	50	
138	86	1968	51	
139	86	166	52	
140	86	862	53	
141	86	1980	54	
142	86	1521	55	
143	86	747	56	
144	86	2216	57	
145	86	1215	58	
146	86	569	59	
147	16	1947	7	95 104 
148	86	1389	60	
149	86	37	61	
150	86	1301	62	
151	16	1674	83	153 
152	86	1090	63	
153	86	470	64	
154	16	1292	84	154 
155	86	876	65	
156	86	1324	66	
157	86	346	67	
158	16	1839	85	12 
159	86	2475	68	
160	86	2174	69	
161	86	1750	70	
162	86	1271	71	
163	86	1381	72	
164	86	1382	73	
165	86	987	74	
166	16	328	86	84 
167	86	1179	75	
168	86	1680	76	
169	86	309	77	
170	86	2404	78	
171	86	1147	79	
172	86	1037	80	
173	86	1475	81	
174	16	403	87	121 
175	86	1975	82	
176	86	2167	83	
177	16	2252	88	111 
178	86	3	84	
179	86	1748	85	
180	86	1857	86	
181	16	1264	89	68 
182	86	1462	87	
183	86	622	88	
184	16	358	90	176 
185	86	2255	89	
186	86	1397	90	
187	16	281	91	166 
188	86	2465	91	
189	86	1309	92	
190	86	757	93	
191	86	2146	94	
192	86	731	95	
193	16	471	8	16 83 
194	86	13	96	
195	86	1362	97	
196	86	1255	98	
197	16	2239	92	4 
198	86	1682	99	
199	86	432	100	
200	70	861	1	
201	70	2148	2	
202	70	188	3	
203	70	2263	4	
204	70	2413	5	
205	70	707	6	
206	70	2110	7	
207	70	194	8	
208	70	1127	9	
209	70	1708	10	
210	70	2225	11	
211	70	393	12	
212	70	250	13	
213	70	2022	14	
214	70	281	15	
215	70	1784	16	
216	70	1844	17	
217	70	994	18	
218	70	855	19	
219	70	1522	20	
220	16	1426	93	27 
221	70	2228	21	
222	70	75	22	
223	70	928	23	
224	70	183	24	
225	70	1681	25	
226	70	894	26	
227	70	1804	27	
228	16	1760	94	169 
229	70	1333	28	
230	70	1278	29	
231	70	2299	30	
232	70	1800	31	
233	70	1494	32	
234	70	1715	33	
235	70	1533	34	
236	70	1521	35	
237	70	1279	36	
238	70	48	37	
239	70	587	38	
240	70	1161	39	
241	70	2376	40	
242	16	396	9	88 194 
243	70	490	41	
244	70	2233	42	
245	16	824	95	1 
246	16	1092	96	87 
247	70	1692	43	
248	70	2463	44	
249	16	1958	97	5 
250	70	2242	45	
251	70	1099	46	
252	16	629	98	185 
253	70	1608	47	
254	70	446	48	
255	70	537	49	
256	70	1707	50	
257	70	710	51	
258	70	1268	52	
259	70	1072	53	
260	70	1108	54	
261	70	717	55	
262	70	1716	56	
263	70	1523	57	
264	70	602	58	
265	70	972	59	
266	70	369	60	
267	16	1180	99	128 
268	70	1139	61	
269	70	982	62	
270	16	160	100	61 
271	70	308	63	
272	70	2483	64	
273	49	1803	1	110 
274	70	2101	65	
275	70	1995	66	
276	70	389	67	
277	70	327	68	
278	70	2437	69	
279	70	678	70	
280	70	1883	71	
281	70	1752	72	
282	70	2446	73	
283	70	862	74	
284	70	759	75	
285	70	711	76	
286	70	1240	77	
287	70	877	78	
288	70	1251	79	
289	70	1165	80	
290	70	1834	81	
291	49	658	2	126 
292	70	1652	82	
293	49	1699	3	31 
294	70	445	83	
295	49	42	4	146 
296	70	1476	84	
297	70	1369	85	
298	70	823	86	
299	70	2256	87	
300	49	5	5	71 
301	49	43	6	178 
302	70	1940	88	
303	70	425	89	
304	70	746	90	
305	49	738	7	158 
306	70	1384	91	
307	49	483	8	50 
308	70	838	92	
309	70	1227	93	
310	70	2478	94	
311	70	2479	95	
312	70	1452	96	
313	70	2216	97	
314	70	1207	98	
315	70	1383	99	
316	70	1300	100	
317	49	1725	9	8 
318	22	225	1	
319	22	107	2	
320	22	2307	3	
321	22	1009	4	
322	22	226	5	
323	22	1665	6	
324	22	1976	7	
325	22	1684	8	
326	22	1115	9	
327	49	2408	10	17 
328	22	2499	10	
329	22	2089	11	
330	22	823	12	
331	22	1834	13	
332	22	945	14	
333	22	1930	15	
334	22	2265	16	
335	22	1145	17	
336	22	1705	18	
337	22	209	19	
338	22	754	20	
339	22	261	21	
340	22	1415	22	
341	22	1578	23	
342	22	899	24	
343	22	2332	25	
344	22	1516	26	
345	22	2488	27	
346	22	853	28	
347	22	1236	29	
348	22	13	30	
349	22	622	31	
350	22	156	32	
351	22	910	33	
352	22	283	34	
353	22	533	35	
354	22	459	36	
355	22	928	37	
356	22	175	38	
357	22	669	39	
358	22	142	40	
359	22	1790	41	
360	22	2231	42	
361	22	395	43	
362	49	2282	11	36 
363	49	1136	12	141 
364	22	858	44	
365	22	1468	45	
366	22	1286	46	
367	22	1275	47	
368	22	121	48	
369	22	1931	49	
370	22	120	50	
371	22	1768	51	
372	22	196	52	
373	22	1106	53	
374	22	2346	54	
375	22	2346	55	
376	22	1626	56	
377	22	1881	57	
378	22	2372	58	
379	22	1570	59	
380	22	1557	60	
381	49	1102	13	89 
382	22	2343	61	
383	22	668	62	
384	22	74	63	
385	22	2165	64	
386	22	1780	65	
387	22	351	66	
388	22	832	67	
389	49	1789	14	145 
390	22	1837	68	
391	22	333	69	
392	22	578	70	
393	22	1550	71	
394	22	2134	72	
395	49	2209	15	65 
396	22	1217	73	
397	22	626	74	
398	22	1617	75	
399	22	1849	76	
400	22	151	77	
401	22	2420	78	
402	49	959	16	176 
403	22	605	79	
404	22	112	80	
405	22	1642	81	
406	22	1308	82	
407	22	252	83	
408	22	2439	84	
409	22	783	85	
410	22	81	86	
411	22	2226	87	
412	49	379	17	194 
413	49	1368	18	55 
414	49	596	19	60 
415	22	2340	88	
416	22	919	89	
417	22	632	90	
418	22	905	91	
419	22	898	92	
420	22	664	93	
421	22	2102	94	
422	22	542	95	
423	22	1405	96	
424	22	1606	97	
425	49	1287	20	9 
426	49	2015	21	44 
427	22	1115	98	
428	22	2123	99	
429	22	140	100	
430	98	1080	1	
431	98	1580	2	
432	49	87	22	53 
433	98	150	3	
434	49	1808	23	174 
435	98	166	4	
436	98	695	5	
437	98	1193	6	
438	16	1588	10	37 45 
439	98	1875	7	
440	98	2289	8	
441	49	1739	24	145 
442	98	549	9	
443	98	370	10	
444	98	921	11	
445	98	552	12	
446	49	1839	25	151 
447	98	1248	13	
448	98	948	14	
449	98	414	15	
450	49	2493	26	195 
451	49	322	27	70 
452	98	1006	16	
453	98	1939	17	
454	98	1435	18	
455	98	677	19	
456	98	1619	20	
457	98	428	21	
458	98	215	22	
459	98	1612	23	
460	49	2109	28	153 
461	98	1199	24	
462	98	1913	25	
463	98	621	26	
464	98	1566	27	
465	98	2209	28	
466	98	624	29	
467	16	2022	11	30 100 
468	98	1909	30	
469	98	1328	31	
470	98	318	32	
471	98	228	33	
472	98	1021	34	
473	98	584	35	
474	98	1675	36	
475	98	1229	37	
476	98	1884	38	
477	98	1932	39	
478	98	2279	40	
479	98	2405	41	
480	98	1953	42	
481	98	260	43	
482	98	938	44	
483	98	1152	45	
484	98	236	46	
485	98	2019	47	
486	98	731	48	
487	49	1365	29	73 
488	98	2026	49	
489	98	1413	50	
490	98	1879	51	
491	98	127	52	
492	98	667	53	
493	98	2416	54	
494	98	903	55	
495	98	1560	56	
496	98	1014	57	
497	49	1182	30	4 
498	49	1021	31	49 
499	98	697	58	
500	98	1150	59	
501	98	666	60	
502	98	393	61	
503	98	880	62	
504	98	151	63	
505	98	1476	64	
506	49	2444	32	35 
507	98	1498	65	
508	98	306	66	
509	49	2260	33	48 
510	49	1692	34	158 
511	98	1612	67	
512	98	836	68	
513	98	1387	69	
514	98	1362	70	
515	98	2076	71	
516	49	1804	35	175 
517	98	1369	72	
518	98	940	73	
519	98	513	74	
520	98	1380	75	
521	98	1133	76	
522	98	1389	77	
523	98	1880	78	
524	98	2192	79	
525	98	466	80	
526	98	1142	81	
527	98	959	82	
528	49	699	36	92 
529	98	623	83	
530	98	1987	84	
531	98	1923	85	
532	98	738	86	
533	98	778	87	
534	98	2474	88	
