Students	100
1	4 33 41 28
2	16 57 26 62
3	58 78 94 70
4	7 69 21 25
5	32 46 72 5
6	25 4 47 5
7	47 6 51 41
8	13 49 33 90
9	32 42 80 17
10	99 82 68 76
11	25 36 5 28
12	81 4 42 83
13	11 90 32 93
14	64 14 40 75
15	90 44 91 79
16	45 70 47 58
17	57 32 39 74
18	72 91 19 74
19	60 61 62 96
20	60 33 47 19
21	74 19 59 18
22	8 92 19 89
23	26 100 12 92
24	22 14 70 27
25	57 82 37 4
26	23 28 100 36
27	80 7 8 33
28	39 94 18 99
29	59 94 74 17
30	48 13 86 32
31	90 58 31 89
32	81 44 4 27
33	78 21 46 9
34	13 96 11 28
35	34 78 49 77
36	98 46 34 79
37	51 11 95 87
38	68 14 73 81
39	32 79 73 71
40	73 45 82 29
41	32 48 72 65
42	5 44 30 7
43	32 8 78 14
44	37 63 44 41
45	15 68 8 62
46	8 72 55 68
47	37 70 79 63
48	94 43 70 15
49	86 19 28 60
50	85 97 58 93
51	80 77 99 38
52	9 40 11 52
53	58 21 53 49
54	60 47 27 26
55	86 5 60 72
56	54 51 45 5
57	98 39 42 5
58	33 73 48 60
59	75 100 2 68
60	36 50 43 21
61	53 84 66 91
62	29 39 6 89
63	94 38 2 23
64	32 98 5 93
65	48 19 41 90
66	97 43 80 100
67	96 34 32 66
68	19 4 84 77
69	87 6 26 81
70	29 17 87 82
71	79 70 10 22
72	68 90 55 39
73	11 45 84 35
74	16 95 25 9
75	68 64 3 7
76	27 70 15 37
77	71 86 69 98
78	49 65 29 60
79	15 19 10 98
80	46 22 67 25
81	4 65 70 44
82	23 48 40 19
83	13 15 53 85
84	94 97 3 78
85	80 10 9 46
86	95 92 44 19
87	28 89 64 17
88	69 51 31 5
89	26 63 15 28
90	20 10 77 99
91	19 11 71 34
92	79 22 48 45
93	39 21 79 14
94	76 5 99 11
95	79 90 65 99
96	92 22 77 46
97	85 69 90 75
98	14 97 85 5
99	45 42 65 2
100	70 24 26 95
