Course	Room	Teacher	Time	Students
1	3638	20	56	17 57 93 
2	3638	38	38	15 58 78 92 
3	3638	30	39	22 36 55 61 
4	3638	28	93	28 
5	3638	20	2	1 11 26 72 75 76 80 97 
6	3638	3	40	48 90 92 99 
7	3638	3	12	24 30 37 59 63 96 
8	3638	31	57	3 43 83 
9	3638	10	94	47 
10	3638	24	58	24 53 60 
11	3638	17	41	8 50 78 91 
12	3638	18	3	13 31 38 40 41 54 56 77 
13	3638	17	79	16 44 
14	3638	22	99	
15	3638	16	23	22 30 43 86 88 
16	3638	40	80	4 9 
17	3638	32	42	37 60 65 76 
18	3638	45	13	8 25 38 62 82 85 
19	3638	14	14	4 13 32 42 70 91 
20	3638	6	1	3 12 19 49 66 67 70 77 81 
21	3638	13	59	10 44 62 
22	3638	48	81	53 83 
23	3638	1	60	39 83 84 
24	3638	31	43	23 80 98 99 
25	3638	23	44	20 21 29 32 
26	3638	6	45	36 52 68 85 
27	3638	1	24	7 16 89 94 100 
28	3638	12	61	52 55 60 
29	3638	44	62	9 41 84 
30	3638	50	82	19 35 
31	3638	45	83	14 29 
32	3638	21	95	26 
33	3638	7	63	21 33 61 
34	3638	41	64	8 13 37 
35	3638	16	7	5 28 37 46 65 97 98 
36	3638	37	25	5 14 16 33 79 
37	3638	32	8	1 23 28 31 73 89 95 
38	3638	13	9	3 4 11 12 35 57 58 
39	3638	21	84	61 82 
40	3638	8	65	28 35 46 
41	3638	24	15	7 26 30 73 86 100 
42	3638	28	96	3 
43	3638	9	46	13 44 46 63 
44	3638	36	47	14 27 63 94 
45	3638	2	26	11 16 20 70 94 
46	3638	14	66	14 27 33 
47	3638	15	27	55 58 68 73 97 
48	3638	50	85	59 80 
49	3638	38	28	15 27 62 78 93 
50	3638	47	86	1 9 
51	3638	7	87	81 88 
52	3638	36	10	9 34 54 66 68 74 89 
53	3638	12	48	18 20 34 82 
54	3638	26	16	21 44 71 82 90 94 
55	3638	44	29	38 40 67 69 71 
56	3638	30	67	77 89 91 
57	3638	22	49	12 18 70 98 
58	3638	23	100	
59	3638	37	30	25 45 57 68 71 
60	3638	33	31	6 64 74 84 95 
61	3638	10	50	2 18 50 54 
62	3638	11	88	59 86 
63	3638	48	97	42 
64	3638	11	32	19 39 66 69 73 
65	3638	19	4	32 35 45 46 47 48 49 84 
66	3638	46	33	22 31 61 74 99 
67	3638	35	51	33 41 45 74 
68	3638	49	68	64 69 90 
69	3638	33	17	1 42 51 57 78 87 
70	3638	27	52	5 8 75 99 
71	3638	43	53	36 58 62 93 
72	3638	34	18	10 17 67 72 80 81 
73	3638	40	89	11 39 
74	3638	15	34	31 40 65 72 76 
75	3638	34	69	10 23 95 
76	3638	8	70	4 17 51 
77	3638	39	19	25 53 54 66 75 79 
78	3638	26	71	18 25 97 
79	3638	5	90	32 53 
80	3638	49	72	20 29 59 
81	3638	46	11	5 21 47 63 85 92 95 
82	3638	27	5	6 19 22 24 41 75 79 96 
83	3638	5	91	24 87 
84	3638	9	20	17 47 51 77 86 90 
85	3638	19	54	2 6 10 64 
86	3638	25	6	29 39 48 55 65 71 72 98 
87	3638	43	73	2 30 52 
88	3638	18	74	7 15 43 
89	3638	2	92	6 12 
90	3638	35	75	34 42 50 
91	3638	25	76	40 69 76 
92	3638	47	35	38 56 83 88 92 
93	3638	39	21	15 26 48 56 64 96 
94	3638	41	36	56 67 81 96 100 
95	3638	29	98	2 
96	3638	4	77	27 52 93 
97	3638	42	78	7 49 88 
98	3638	4	55	34 50 85 87 
99	3638	29	22	23 36 49 51 87 91 
100	3638	42	37	43 45 60 79 100 
