Students	20000
1	539 47 264 42
2	705 443 302 479
3	329 503 683 14
4	761 63 646 389
5	817 890 971 653
6	559 346 266 70
7	832 959 837 35
8	593 828 897 256
9	977 705 335 535
10	245 844 604 542
11	726 188 975 728
12	998 624 192 953
13	218 222 30 710
14	854 863 173 3
15	367 485 606 61
16	223 454 421 825
17	328 157 22 455
18	643 117 654 328
19	735 12 813 383
20	956 498 629 425
21	914 250 408 488
22	928 542 371 955
23	919 822 855 344
24	242 844 776 183
25	419 214 388 285
26	29 75 386 606
27	656 736 160 432
28	192 371 860 558
29	752 518 414 451
30	416 748 304 70
31	82 816 928 469
32	269 538 423 503
33	319 951 861 13
34	289 544 391 542
35	9 191 966 778
36	239 154 464 238
37	220 131 773 554
38	27 880 601 923
39	879 703 483 633
40	903 909 800 972
41	930 757 252 610
42	639 54 404 618
43	301 266 31 534
44	358 141 397 206
45	1 621 324 35
46	574 268 559 569
47	367 111 73 145
48	760 567 433 492
49	587 687 371 270
50	499 55 225 522
51	158 317 858 939
52	830 939 123 785
53	855 745 455 709
54	919 228 59 801
55	125 301 585 897
56	614 870 558 755
57	565 452 113 599
58	736 684 192 74
59	264 163 48 788
60	192 267 104 698
61	386 779 467 174
62	128 671 226 876
63	268 52 222 882
64	370 137 99 922
65	737 152 720 957
66	351 352 650 886
67	70 971 502 146
68	562 699 898 731
69	213 824 369 424
70	328 785 320 219
71	475 661 545 234
72	364 51 513 395
73	882 266 730 472
74	139 643 893 231
75	772 506 924 853
76	551 850 375 736
77	29 607 589 379
78	780 287 368 595
79	544 579 57 310
80	499 742 997 187
81	122 403 83 204
82	793 35 112 646
83	60 276 113 307
84	247 497 540 493
85	60 293 118 814
86	649 728 39 258
87	960 175 845 308
88	713 82 564 389
89	18 293 924 975
90	972 932 815 749
91	133 40 575 36
92	786 150 478 916
93	411 797 577 211
94	991 383 247 570
95	983 127 767 919
96	280 651 469 239
97	807 544 561 357
98	821 517 246 786
99	490 204 917 556
100	7 558 904 100
101	816 103 711 11
102	437 189 4 594
103	761 945 694 510
104	435 908 512 283
105	276 650 114 320
106	455 917 290 395
107	983 600 558 9
108	685 658 829 723
109	272 83 806 783
110	89 263 1 157
111	957 120 301 350
112	845 47 699 137
113	792 748 335 40
114	891 189 364 94
115	645 128 226 96
116	849 468 842 297
117	79 323 539 797
118	130 482 436 890
119	396 404 908 363
120	399 47 762 347
121	967 634 101 371
122	947 617 797 996
123	785 797 766 781
124	679 417 505 759
125	763 450 740 513
126	623 624 573 737
127	234 718 875 923
128	838 409 52 844
129	472 531 86 470
130	590 834 198 239
131	852 629 748 295
132	489 620 354 914
133	406 469 599 474
134	38 585 542 436
135	148 186 41 179
136	711 95 285 499
137	498 112 106 88
138	244 247 316 645
139	572 948 369 915
140	288 592 24 230
141	855 596 779 117
142	970 154 882 481
143	37 806 723 420
144	173 145 656 277
145	355 277 646 18
146	557 294 883 100
147	852 552 163 30
148	426 907 979 470
149	343 99 968 990
150	572 861 315 42
151	755 240 761 967
152	101 494 820 480
153	720 179 54 207
154	120 4 950 154
155	951 254 6 999
156	823 293 359 683
157	987 645 355 872
158	192 386 259 372
159	352 240 109 115
160	54 477 231 602
161	28 14 918 24
162	650 383 205 347
163	425 312 931 281
164	271 673 440 36
165	698 646 525 319
166	722 40 586 178
167	343 200 487 590
168	559 530 341 270
169	509 53 113 189
170	122 111 787 756
171	342 232 230 367
172	336 645 209 992
173	970 110 288 105
174	144 804 113 467
175	490 337 574 61
176	231 575 176 786
177	370 438 31 862
178	365 55 82 266
179	260 451 368 978
180	319 906 545 345
181	75 503 926 84
182	795 445 329 368
183	610 4 261 172
184	224 602 757 768
185	617 224 479 398
186	612 103 12 63
187	481 397 195 66
188	820 110 523 589
189	144 103 376 954
190	828 190 867 417
191	895 623 446 618
192	517 939 901 390
193	24 183 756 250
194	505 813 308 845
195	74 438 956 91
196	373 683 326 151
197	649 365 827 435
198	389 470 209 829
199	261 761 885 755
200	524 721 874 712
201	752 855 410 546
202	63 372 274 267
203	164 192 605 80
204	661 58 268 955
205	776 795 250 361
206	998 231 130 229
207	206 821 592 238
208	548 35 410 618
209	104 354 163 815
210	101 381 540 97
211	992 733 916 981
212	823 872 438 844
213	195 812 356 172
214	632 308 384 365
215	694 870 293 208
216	558 276 600 848
217	930 431 516 381
218	605 951 300 598
219	247 165 902 794
220	334 588 449 349
221	719 134 470 328
222	23 369 124 288
223	561 96 426 496
224	800 178 133 620
225	171 292 532 909
226	576 616 540 639
227	161 84 24 991
228	970 73 805 303
229	367 148 841 123
230	658 926 560 507
231	931 389 191 381
232	740 42 409 362
233	57 660 291 622
